time,SplyExpFut10yr
2009-09-11,17353662.5
2009-09-12,17354525.0
2009-09-13,17355462.5
2009-09-14,17356387.5
2009-09-15,17356937.5
2009-09-16,17357837.5
2009-09-17,17358887.5
2009-09-18,17359862.5
2009-09-19,17360787.5
2009-09-20,17361762.5
2009-09-21,17362625.0
2009-09-22,17362937.5
2009-09-23,17363387.5
2009-09-24,17364600.0
2009-09-25,17365737.5
2009-09-26,17366987.5
2009-09-27,17368075.0
2009-09-28,17369137.5
2009-09-29,17370237.5
2009-09-30,17371300.0
2009-10-01,17372325.0
2009-10-02,17373225.0
2009-10-03,17373950.0
2009-10-04,17374612.5
2009-10-05,17375300.0
2009-10-06,17375837.5
2009-10-07,17376587.5
2009-10-08,17377462.5
2009-10-09,17378450.0
2009-10-10,17379412.5
2009-10-11,17380337.5
2009-10-12,17381062.5
2009-10-13,17381775.0
2009-10-14,17382637.5
2009-10-15,17383525.0
2009-10-16,17384275.0
2009-10-17,17384987.5
2009-10-18,17385912.5
2009-10-19,17387312.5
2009-10-20,17388500.0
2009-10-21,17389500.0
2009-10-22,17390625.0
2009-10-23,17391737.5
2009-10-24,17392512.5
2009-10-25,17393462.5
2009-10-26,17394350.0
2009-10-27,17395150.0
2009-10-28,17395975.0
2009-10-29,17396550.0
2009-10-30,17397300.0
2009-10-31,17397875.0
2009-11-01,17398187.5
2009-11-02,17398600.0
2009-11-03,17399375.0
2009-11-04,17400162.5
2009-11-05,17400875.0
2009-11-06,17401650.0
2009-11-07,17402512.5
2009-11-08,17403425.0
2009-11-09,17404225.0
2009-11-10,17405200.0
2009-11-11,17406000.0
2009-11-12,17406825.0
2009-11-13,17407825.0
2009-11-14,17408812.5
2009-11-15,17410012.5
2009-11-16,17411225.0
2009-11-17,17412375.0
2009-11-18,17413362.5
2009-11-19,17414237.5
2009-11-20,17415312.5
2009-11-21,17416225.0
2009-11-22,17417550.0
2009-11-23,17418750.0
2009-11-24,17419912.5
2009-11-25,17421037.5
2009-11-26,17422087.5
2009-11-27,17423012.5
2009-11-28,17423900.0
2009-11-29,17424650.0
2009-11-30,17425587.5
2009-12-01,17426500.0
2009-12-02,17427675.0
2009-12-03,17428775.0
2009-12-04,17429225.0
2009-12-05,17430025.0
2009-12-06,17431312.5
2009-12-07,17432712.5
2009-12-08,17434025.0
2009-12-09,17435225.0
2009-12-10,17436525.0
2009-12-11,17437925.0
2009-12-12,17439300.0
2009-12-13,17440725.0
2009-12-14,17442000.0
2009-12-15,17443375.0
2009-12-16,17445075.0
2009-12-17,17447187.5
2009-12-18,17450000.0
2009-12-19,17452475.0
2009-12-20,17454662.5
2009-12-21,17456850.0
2009-12-22,17458875.0
2009-12-23,17460800.0
2009-12-24,17462725.0
2009-12-25,17464587.5
2009-12-26,17466762.5
2009-12-27,17468850.0
2009-12-28,17470562.5
2009-12-29,17472700.0
2009-12-30,17474462.5
2009-12-31,17476187.5
2010-01-01,17477837.5
2010-01-02,17479412.5
2010-01-03,17481737.5
2010-01-04,17484000.0
2010-01-05,17486475.0
2010-01-06,17488512.5
2010-01-07,17490437.5
2010-01-08,17492350.0
2010-01-09,17494237.5
2010-01-10,17496612.5
2010-01-11,17498600.0
2010-01-12,17500587.5
2010-01-13,17502637.5
2010-01-14,17504425.0
2010-01-15,17506187.5
2010-01-16,17507750.0
