time,BlkSizeMeanByte
2009-01-17,215.853211009174
2009-01-21,230.45631067961202
2009-01-25,217.0
2009-01-29,227.25619834710702
2009-02-02,217.09375
2009-02-06,215.836065573771
2009-02-10,215.666666666667
2009-02-14,215.78676470588198
2009-02-18,215.94067796610202
2009-02-22,228.545454545455
2009-02-26,215.96261682243002
2009-03-02,215.962962962963
2009-03-06,215.92307692307702
2009-03-10,215.971962616822
2009-03-14,215.790909090909
2009-03-18,230.71052631578902
2009-03-22,227.228813559322
2009-03-26,243.606837606838
2009-03-30,215.85
2009-04-03,215.94827586206898
2009-04-07,215.99
2009-04-11,223.333333333333
2009-04-15,215.743362831859
2009-04-19,224.0
2009-04-23,215.68
2009-04-27,215.894230769231
2009-05-01,215.876033057851
2009-05-05,224.666666666667
2009-05-09,215.493506493506
2009-05-13,225.774774774775
2009-05-17,215.96062992126
2009-05-21,215.963414634146
2009-05-25,215.95412844036701
2009-05-29,280.83962264151
2009-06-02,215.909090909091
2009-06-06,215.296296296296
2009-06-10,215.92682926829198
2009-06-14,215.694444444444
2009-06-18,215.8125
2009-06-22,306.381578947368
2009-06-26,215.60000000000002
2009-06-30,221.047058823529
2009-07-04,215.876404494382
2009-07-08,215.986486486486
2009-07-12,215.792207792208
2009-07-16,215.859154929577
2009-07-20,414.7
2009-07-24,215.931506849315
2009-07-28,215.707317073171
2009-08-01,215.82142857142898
2009-08-05,215.72413793103402
2009-08-09,216.0
2009-08-13,215.76470588235298
2009-08-17,215.82352941176498
2009-08-21,215.0
2009-08-25,215.666666666666
2009-08-29,215.807692307692
2009-09-02,215.846153846154
2009-09-06,215.85294117647
2009-09-10,215.805970149253
2009-09-14,215.851351351351
2009-09-18,215.807692307692
2009-09-22,392.730769230769
2009-09-26,215.46
2009-09-30,215.76470588235298
2009-10-04,215.679245283019
2009-10-08,215.471428571428
2009-10-12,364.37931034482796
2009-10-16,372.516666666667
2009-10-20,338.0
2009-10-24,230.193548387097
2009-10-28,215.671641791045
2009-11-01,215.28
2009-11-05,215.46551724137902
2009-11-09,215.6875
2009-11-13,238.45
2009-11-17,215.663043478261
2009-11-21,215.71232876712298
2009-11-25,215.644444444444
2009-11-29,215.68333333333302
2009-12-03,215.784090909091
2009-12-07,215.642857142857
2009-12-11,215.34821428571402
2009-12-15,226.945454545455
2009-12-19,216.71717171717202
2009-12-23,215.67532467532502
2009-12-27,219.79640718562902
2009-12-31,215.695652173913
2010-01-04,269.04419889502805
2010-01-08,215.758169934641
2010-01-12,372.012578616352
2010-01-16,222.28
2010-01-20,215.449367088608
2010-01-24,216.70129870129898
2010-01-28,229.564971751413
2010-02-01,233.91847826087002
2010-02-05,342.730941704035
2010-02-09,446.835748792271
2010-02-13,258.73275862069
2010-02-17,234.020920502092
2010-02-21,281.22869955157
2010-02-25,322.883116883117
2010-03-01,235.35897435897502
2010-03-05,217.988304093567
2010-03-09,279.438356164384
2010-03-13,242.718954248366
2010-03-17,238.16911764705898
2010-03-21,223.371584699454
2010-03-25,430.716577540107
2010-03-29,258.548717948718
2010-04-02,231.730769230769
2010-04-06,296.27672955974896
2010-04-10,350.899999999999
2010-04-14,311.872222222222
2010-04-18,3619.62857142857
2010-04-22,280.22641509434
2010-04-26,320.731707317073
2010-04-30,274.270833333334
2010-05-04,426.367647058824
2010-05-08,434.967532467533
