time,IssContPctAnn
2009-01-09,365.0
2009-01-10,278.3125
2009-01-11,196.21387283236996
2009-01-12,128.50187265917603
2009-01-13,115.11538461538461
2009-01-14,90.72254335260115
2009-01-15,71.30232558139535
2009-01-16,52.35059760956176
2009-01-17,46.154292343387475
2009-01-18,40.30443756449949
2009-01-19,38.72232472324723
2009-01-20,34.73288814691152
2009-01-21,28.638461538461538
2009-01-22,23.878504672897193
2009-01-23,20.7864406779661
2009-01-24,43.77386634844869
2009-01-25,37.34065345474023
2009-01-26,17.850229240957717
2009-01-27,17.186893203883496
2009-01-28,18.82136279926335
2009-01-29,19.260793720017443
2009-01-30,17.719917012448132
2009-01-31,19.768445839874413
2009-02-01,15.499812100714017
2009-02-02,16.751523843671567
2009-02-03,17.32752732240437
2009-02-04,14.255004922874958
2009-02-05,14.49416955562559
2009-02-06,13.514415781487102
2009-02-07,13.751460280373832
2009-02-08,13.548931383577052
2009-02-09,13.254742547425474
2009-02-10,11.496062992125983
2009-02-11,12.311691605376616
2009-02-12,10.693008370260955
2009-02-13,10.812231247013855
2009-02-14,11.48542341508561
2009-02-15,10.498876404494382
2009-02-16,9.739720034995626
2009-02-17,9.107485604606525
2009-02-18,8.959850218431454
2009-02-19,9.178665585074022
2009-02-20,8.81258658222838
2009-02-21,8.053028836849235
2009-02-22,8.351928895612708
2009-02-23,7.305411415863602
2009-02-24,7.031988367866231
2009-02-25,6.835205992509364
2009-02-26,6.8349667483374175
2009-02-27,7.2010636472808365
2009-02-28,6.095647773279353
2009-03-01,6.352560914967677
2009-03-02,6.419149975574011
2009-03-03,6.135926993275696
2009-03-04,5.977952755905513
2009-03-05,6.326214794181368
2009-03-06,6.4911080711354305
2009-03-07,5.948714114832535
2009-03-08,6.170072027046891
2009-03-09,5.703950224280134
2009-03-10,5.5649757765745225
2009-03-11,5.8342680874929895
2009-03-12,5.940689655172413
2009-03-13,5.601656933315224
2009-03-14,5.372674963200856
2009-03-15,5.910347551342811
2009-03-16,5.723078916677466
2009-03-17,5.3134976375941765
2009-03-18,5.237256135934549
2009-03-19,5.520019833891162
2009-03-20,5.2620647525962125
2009-03-21,2.2161505768063146
2009-03-22,5.199305721809912
2009-03-23,5.592880716643093
2009-03-24,4.462102689486553
2009-03-25,4.905237767057202
2009-03-26,4.840190411424686
2009-03-27,4.333072012543398
2009-03-28,4.800508399646331
2009-03-29,4.620253164556962
2009-03-30,4.717794054286945
2009-03-31,4.27400468384075
2009-04-01,4.376314682372739
2009-04-02,4.361945339291281
2009-04-03,4.347468939316152
2009-04-04,4.186459602111246
2009-04-05,4.753556401522741
2009-04-06,3.9426221385392926
2009-04-07,3.5815916004317536
2009-04-08,3.722319347319347
2009-04-09,3.4761904761904767
2009-04-10,3.7532133676092543
2009-04-11,4.123129059587687
2009-04-12,4.009868727306583
2009-04-13,3.8665254237288136
2009-04-14,4.122040072859745
2009-04-15,3.7181105201478406
2009-04-16,4.002763908701855
2009-04-17,3.608757062146893
2009-04-18,4.015191199580933
2009-04-19,3.7531322906765747
2009-04-20,3.714933287718098
2009-04-21,3.799830723656369
2009-04-22,3.700150804289544
2009-04-23,2.279160769294813
2009-04-24,3.4615701797789873
2009-04-25,3.517641293694871
2009-04-26,3.308514082227258
2009-04-27,3.0465489566613164
2009-04-28,3.3954838196708277
2009-04-29,3.6772924045651316
2009-04-30,3.7250701153007166
2009-05-01,3.408582233541715
2009-05-02,3.5152487961476724
2009-05-03,2.9335051937220413
2009-05-04,3.508297664639183
2009-05-05,3.663024085637823
2009-05-06,3.6266283947891367
2009-05-07,3.2482310890655772
2009-05-08,2.8267950202663576
2009-05-09,2.049085936375414
2009-05-10,2.2194005293654766
2009-05-11,3.1066033051989503
2009-05-12,3.3347389134865417
2009-05-13,2.825313807531381
2009-05-14,3.5040403342772293
2009-05-15,3.3965104344851182
2009-05-16,2.9479435319668794
2009-05-17,3.1192382746786893
2009-05-18,2.8753588357033175
2009-05-19,2.0836375705277135
2009-05-20,2.8844254198221932
2009-05-21,1.960437545031768
2009-05-22,1.452570459290188
2009-05-23,0.7604166666666666
2009-05-24,2.3609314359637774
2009-05-25,2.5553985483974566
2009-05-26,2.907161972728431
2009-05-27,2.746790615316512
2009-05-28,2.1797208951470957
2009-05-29,2.4160109903834144
2009-05-30,2.4675928797370217
2009-05-31,2.160429126333313
2009-06-01,1.5908532842234502
2009-06-02,2.470276202670569
2009-06-03,1.5732758620689655
2009-06-04,1.4566453017293506
2009-06-05,0.660912602607436
2009-06-06,0.6158110388045313
2009-06-07,0.3515530941488081
2009-06-08,1.7928597100754762
2009-06-09,1.9788501638367588
2009-06-10,1.7744708602596788
2009-06-11,1.9158410002359048
2009-06-12,1.8419199624457223
2009-06-13,1.6629672897196262
2009-06-14,1.5286179618427174
2009-06-15,1.774716369529984
2009-06-16,1.4939182567590936
2009-06-17,1.6547113508550442
2009-06-18,1.6679995430138237
2009-06-19,1.8049792531120332
2009-06-20,1.611114254994058
2009-06-21,1.665446146913024
2009-06-22,1.5559793583127663
2009-06-23,1.5493744414655943
2009-06-24,1.9264959164398023
2009-06-25,1.373775391597941
2009-06-26,1.8092195847331607
2009-06-27,1.6808289019242366
2009-06-28,0.9181385683819107
2009-06-29,1.6491562329885685
2009-06-30,1.6811162286643184
2009-07-01,1.4577149333477253
2009-07-02,1.627713303245218
2009-07-03,1.6010484647480476
2009-07-04,1.7294894319331309
2009-07-05,1.5287350227971583
2009-07-06,1.6182835427003062
2009-07-07,1.324480673152774
2009-07-08,1.414951018911415
2009-07-09,1.6370273794002608
2009-07-10,1.5353656003323637
2009-07-11,1.5665236051502145
2009-07-12,1.4475175113308612
2009-07-13,1.4604493690366267
2009-07-14,1.2873792363134489
2009-07-15,0.8376682986536108
2009-07-16,1.3168860206311297
2009-07-17,0.8696644023116699
2009-07-18,0.07399898631525595
2009-07-19,1.2904040404040404
2009-07-20,1.2858580775037745
2009-07-21,1.5001002405773858
2009-07-22,1.0943433939636218
2009-07-23,1.3809239346873754
2009-07-24,1.3216110311988494
2009-07-25,0.5784182637547665
2009-07-26,0.37919263876521225
2009-07-27,1.3313288643533123
2009-07-28,0.7361404889566628
2009-07-29,0.340819736583448
2009-07-30,0.26887000933064875
2009-07-31,0.30446516192345435
2009-08-01,0.5007840062720502
2009-08-02,0.4108952082619549
2009-08-03,0.21425426796458444
2009-08-04,1.4405086727733387
2009-08-05,1.540682160011644
2009-08-06,1.5868798608762862
2009-08-07,1.405129685770656
2009-08-08,1.3997411437610852
2009-08-09,1.7586585249499094
2009-08-10,1.30127869943433
2009-08-11,1.2104988866252901
2009-08-12,1.0862068965517242
2009-08-13,1.4596565513996707
2009-08-14,1.0786659161272165
2009-08-15,0.4446214392803598
2009-08-16,0.32462669100781727
2009-08-17,0.2902245088868101
2009-08-18,0.17064048620850866
2009-08-19,0.30689461883408076
2009-08-20,0.3747083527764816
2009-08-21,0.23829509419884348
2009-08-22,0.1191086662626451
2009-08-23,0.2550545047982856
2009-08-24,0.25487640240212284
2009-08-25,0.8476150666480887
2009-08-26,0.8119004587793688
2009-08-27,0.4898648648648649
2009-08-28,1.262509800304386
2009-08-29,1.3083038463305914
2009-08-30,1.6197730807942172
2009-08-31,1.4304593510754646
2009-09-01,1.2927981109799291
2009-09-02,1.090637450199203
2009-09-03,1.0052372567610275
2009-09-04,1.051636429118084
2009-09-05,1.244560096908789
2009-09-06,1.110166838126761
2009-09-07,1.2689993314018275
2009-09-08,1.1191343761109136
2009-09-09,0.8737476726660165
2009-09-10,1.0808839779005526
2009-09-11,1.0776925788824256
2009-09-12,1.1064979570317648
2009-09-13,1.1987651077246453
2009-09-14,1.1789611523352248
2009-09-15,0.6996601899451076
2009-09-16,1.1413185095109875
2009-09-17,1.3266983989614884
2009-09-18,1.2277902363291358
2009-09-19,1.1611211417762877
2009-09-20,1.2197943444730077
2009-09-21,1.0758682557990515
