time,IssContPctDay
2009-01-09,1.0
2009-01-10,0.7625
2009-01-11,0.5375722543352601
2009-01-12,0.352059925093633
2009-01-13,0.3153846153846154
2009-01-14,0.24855491329479767
2009-01-15,0.19534883720930232
2009-01-16,0.14342629482071714
2009-01-17,0.12645011600928074
2009-01-18,0.11042311661506708
2009-01-19,0.10608856088560886
2009-01-20,0.09515859766277128
2009-01-21,0.07846153846153846
2009-01-22,0.06542056074766354
2009-01-23,0.05694915254237288
2009-01-24,0.11992840095465394
2009-01-25,0.10230316014997322
2009-01-26,0.0489047376464595
2009-01-27,0.0470873786407767
2009-01-28,0.05156537753222836
2009-01-29,0.05276929786306149
2009-01-30,0.04854771784232365
2009-01-31,0.05416012558869702
2009-02-01,0.0424652386320932
2009-02-02,0.04589458587307279
2009-02-03,0.04747267759562841
2009-02-04,0.0390548080078766
2009-02-05,0.03971005357705641
2009-02-06,0.0370257966616085
2009-02-07,0.037675233644859814
2009-02-08,0.03712035995500562
2009-02-09,0.036314363143631435
2009-02-10,0.031496062992125984
2009-02-11,0.03373066193253867
2009-02-12,0.0292959133431807
2009-02-13,0.029622551361681796
2009-02-14,0.03146691346598797
2009-02-15,0.028764044943820226
2009-02-16,0.02668416447944007
2009-02-17,0.02495201535508637
2009-02-18,0.024547534845017684
2009-02-19,0.025147029000202797
2009-02-20,0.02414407282802296
2009-02-21,0.022063092703696534
2009-02-22,0.022881996974281393
2009-02-23,0.02001482579688658
2009-02-24,0.019265721555797893
2009-02-25,0.018726591760299626
2009-02-26,0.018725936296814842
2009-02-27,0.019728941499399553
2009-02-28,0.016700404858299597
2009-03-01,0.0174042764793635
2009-03-02,0.017586712261846604
2009-03-03,0.01681075888568684
2009-03-04,0.016377952755905513
2009-03-05,0.017332095326524296
2009-03-06,0.017783857729138167
2009-03-07,0.01629784688995215
2009-03-08,0.01690430692341614
2009-03-09,0.015627260888438722
2009-03-10,0.0152465089769165
2009-03-11,0.01598429613011778
2009-03-12,0.016275862068965516
2009-03-13,0.01534700529675404
2009-03-14,0.014719657433427003
2009-03-15,0.016192733017377565
2009-03-16,0.01567966826486977
2009-03-17,0.014557527774230621
2009-03-18,0.01434864694776589
2009-03-19,0.015123342010660717
2009-03-20,0.01441661576053757
2009-03-21,0.006071645415907711
2009-03-22,0.014244673210438114
2009-03-23,0.015322960867515324
2009-03-24,0.012224938875305624
2009-03-25,0.013439007580978636
2009-03-26,0.013260795647738865
2009-03-27,0.011871430171351775
2009-03-28,0.013152077807250221
2009-03-29,0.012658227848101266
2009-03-30,0.012925463162429988
2009-03-31,0.0117096018735363
2009-04-01,0.011989903239377367
2009-04-02,0.011950535176140496
2009-04-03,0.011910873806345621
2009-04-04,0.01146975233455136
2009-04-05,0.013023442195952716
2009-04-06,0.010801704489148746
2009-04-07,0.009812579727210283
2009-04-08,0.010198135198135198
2009-04-09,0.009523809523809525
2009-04-10,0.010282776349614395
2009-04-11,0.011296243998870376
2009-04-12,0.010985941718648171
2009-04-13,0.01059322033898305
2009-04-14,0.011293260473588343
2009-04-15,0.010186604164788605
2009-04-16,0.010966476462196862
2009-04-17,0.009887005649717515
2009-04-18,0.011000523834468309
2009-04-19,0.010282554221031711
2009-04-20,0.010177899418405748
2009-04-21,0.010410495133305121
2009-04-22,0.01013739946380697
2009-04-23,0.0062442760802597615
2009-04-24,0.009483753917202705
2009-04-25,0.009637373407383208
2009-04-26,0.009064422143088379
2009-04-27,0.008346709470304976
2009-04-28,0.009302695396358432
2009-04-29,0.010074773711137347
2009-04-30,0.010205671548769087
2009-05-01,0.009338581461758123
2009-05-02,0.009630818619582664
2009-05-03,0.008037000530745318
2009-05-04,0.009611774423668994
2009-05-05,0.010035682426404995
2009-05-06,0.009935968204901745
2009-05-07,0.00889926325771391
2009-05-08,0.007744643891140706
2009-05-09,0.005613934072261408
2009-05-10,0.006080549395521854
2009-05-11,0.00851124193205192
2009-05-12,0.009136270995853539
2009-05-13,0.007740585774058577
2009-05-14,0.00960011050486912
2009-05-15,0.009305508039685256
2009-05-16,0.008076557621827067
2009-05-17,0.00854585828679093
2009-05-18,0.007877695440283062
2009-05-19,0.005708596083637571
2009-05-20,0.007902535396773132
2009-05-21,0.005371061767210323
2009-05-22,0.0039796450939457205
2009-05-23,0.0020833333333333333
2009-05-24,0.00646830530401035
2009-05-25,0.007001091913417689
2009-05-26,0.007964827322543647
2009-05-27,0.007525453740593183
2009-05-28,0.005971838068896153
2009-05-29,0.006619208192831272
2009-05-30,0.006760528437635676
2009-05-31,0.005918983907762501
2009-06-01,0.0043585021485573975
2009-06-02,0.006767880007316627
2009-06-03,0.004310344827586207
2009-06-04,0.003990809045833837
2009-06-05,0.0018107194591984548
2009-06-06,0.0016871535309713184
2009-06-07,0.000963159162051529
2009-06-08,0.004911944411165688
2009-06-09,0.005421507298182901
2009-06-10,0.004861564000711449
2009-06-11,0.005248879452701109
2009-06-12,0.005046356061495129
2009-06-13,0.00455607476635514
2009-06-14,0.004187994416007445
2009-06-15,0.004862236628849271
2009-06-16,0.004092926730846832
2009-06-17,0.004533455755767244
2009-06-18,0.004569861761681709
2009-06-19,0.004945148638663105
2009-06-20,0.004414011657517967
2009-06-21,0.004562866155926093
2009-06-22,0.0042629571460623735
2009-06-23,0.0042448614834673815
2009-06-24,0.005278071003944664
2009-06-25,0.0037637681961587423
2009-06-26,0.0049567659855703034
2009-06-27,0.004605010690203388
2009-06-28,0.00251544813255318
2009-06-29,0.004518236254763201
2009-06-30,0.004605797886751558
2009-07-01,0.003993739543418425
2009-07-02,0.004459488502041693
2009-07-03,0.004386434149994651
2009-07-04,0.004738327210775701
2009-07-05,0.004188315130951119
2009-07-06,0.0044336535416446745
2009-07-07,0.003628714173021299
2009-07-08,0.0038765781340038765
2009-07-09,0.004485006518904824
2009-07-10,0.004206481096800997
2009-07-11,0.004291845493562232
2009-07-12,0.003965801400906469
2009-07-13,0.0040012311480455524
2009-07-14,0.003527066400858764
2009-07-15,0.002294981640146879
2009-07-16,0.0036079069058387115
2009-07-17,0.002382642198114164
2009-07-18,0.00020273694880892042
2009-07-19,0.0035353535353535356
2009-07-20,0.0035228988424760945
2009-07-21,0.004109863672814755
2009-07-22,0.0029982010793523886
2009-07-23,0.003783353245718837
2009-07-24,0.00362085214027082
2009-07-25,0.0015847075719308671
2009-07-26,0.0010388839418224993
2009-07-27,0.003647476340694006
2009-07-28,0.0020168232574155147
2009-07-29,0.0009337527029683507
2009-07-30,0.0007366301625497225
2009-07-31,0.0008341511285574092
2009-08-01,0.0013720109760878088
2009-08-02,0.0011257402966080956
2009-08-03,0.000586997994423519
2009-08-04,0.003946599103488599
2009-08-05,0.004221047013730532
2009-08-06,0.004347616057195304
2009-08-07,0.0038496703719743995
2009-08-08,0.0038349072431810554
2009-08-09,0.0048182425341093404
2009-08-10,0.0035651471217378904
2009-08-11,0.003316435305822713
2009-08-12,0.002975909305621162
2009-08-13,0.0039990590449306045
2009-08-14,0.0029552490852800452
2009-08-15,0.0012181409295352324
2009-08-16,0.0008893881945419651
2009-08-17,0.0007951356407857811
2009-08-18,0.0004675081813931744
2009-08-19,0.0008408071748878924
2009-08-20,0.0010265982267848811
2009-08-21,0.0006528632717776534
2009-08-22,0.00032632511304834274
2009-08-23,0.0006987794652007826
2009-08-24,0.0006982915134304735
2009-08-25,0.002322233059309832
2009-08-26,0.0022243848185736132
2009-08-27,0.001342095520177712
2009-08-28,0.0034589309597380436
2009-08-29,0.003584394099535867
2009-08-30,0.004437734467929362
2009-08-31,0.003919066715275246
2009-09-01,0.0035419126328217238
2009-09-02,0.00298804780876494
2009-09-03,0.0027540746760576097
2009-09-04,0.002881195696213929
2009-09-05,0.003409753690161066
2009-09-06,0.0030415529811692087
2009-09-07,0.0034767104969913084
2009-09-08,0.0030661215783860645
2009-09-09,0.002393829240180867
2009-09-10,0.002961325966850829
2009-09-11,0.0029525824078970564
2009-09-12,0.0030315012521418216
2009-09-13,0.003284287966368891
2009-09-14,0.0032300305543430815
2009-09-15,0.0019168772327263221
2009-09-16,0.0031269000260575
2009-09-17,0.0036347901341410643
2009-09-18,0.0033638088666551663
2009-09-19,0.0031811538130857193
2009-09-20,0.0033419023136246786
2009-09-21,0.002947584262463155
2009-09-22,0.001066825979346249
2009-09-23,0.001533873029399233
2009-09-24,0.00411592481011584
2009-09-25,0.003846478992307042
2009-09-26,0.004209108510817409
2009-09-27,0.0036485636401761374
2009-09-28,0.0035520267446719597
2009-09-29,0.003663918727620951
2009-09-30,0.0035265319669750654
2009-10-01,0.003390531321066777
2009-10-02,0.002968215360514491
2009-10-03,0.00238535883199671
2009-10-04,0.002174983585029547
2009-10-05,0.002251975596773533
2009-10-06,0.0017575410774135535
2009-10-07,0.0024463834298295685
2009-10-08,0.002845991218084241
2009-10-09,0.0032016210739614997
2009-10-10,0.003110859728506787
2009-10-11,0.0029807459921050512
2009-10-12,0.002330814981514226
2009-10-13,0.002285393528727798
2009-10-14,0.0027588964414234306
2009-10-15,0.00283082811690124
2009-10-16,0.0023865399148800762
2009-10-17,0.002262084292404159
2009-10-18,0.002928141817030706
2009-10-19,0.00441222817522849
2009-10-20,0.0037285607755406414
2009-10-21,0.003130012911303259
2009-10-22,0.003508908729385161
2009-10-23,0.003457922138472298
2009-10-24,0.0024031007751937985
2009-10-25,0.0029370845571185657
2009-10-26,0.0027363471692295836
2009-10-27,0.0024604974818346085
2009-10-28,0.0025309659853510755
2009-10-29,0.0017609003560081155
2009-10-30,0.002291563228048734
2009-10-31,0.001753783979564604
2009-11-01,0.0009522358497752723
2009-11-02,0.0012553733784760527
2009-11-03,0.0023530304755398686
2009-11-04,0.0023852794184461607
2009-11-05,0.0021534625410857986
2009-11-06,0.0023368889223926727
2009-11-07,0.002593984962406015
2009-11-08,0.002736849998125445
2009-11-09,0.0023936866514567825
2009-11-10,0.002908819690471751
2009-11-11,0.002381040961345288
2009-11-12,0.0024494340322879942
2009-11-13,0.0029602220166512487
2009-11-14,0.0029146989374262103
2009-11-15,0.0035294117647058825
2009-11-16,0.00355350404806389
2009-11-17,0.0033590127423418163
2009-11-18,0.002876073976991408
2009-11-19,0.002541942043721403
2009-11-20,0.0031132348682305242
2009-11-21,0.002635664512402065
2009-11-22,0.0038125382153005073
2009-11-23,0.003440983547797412
2009-11-24,0.0033223778222349243
2009-11-25,0.003204899935902001
2009-11-26,0.0029823191081445716
2009-11-27,0.0026203966005665723
2009-11-28,0.0025078591360248666
2009-11-29,0.002114835571534313
2009-11-30,0.0026365745623286225
2009-12-01,0.0025596970440758793
2009-12-02,0.003285220004892881
2009-12-03,0.0030660952580049477
2009-12-04,0.001252740369558409
2009-12-05,0.002222145064407486
2009-12-06,0.0035635206199833933
2009-12-07,0.0038599393438103115
2009-12-08,0.0036056454105284847
2009-12-09,0.0032857582914056884
2009-12-10,0.003546945874970158
2009-12-11,0.0038052526076173005
2009-12-12,0.0037233862505500455
2009-12-13,0.003843949151970867
2009-12-14,0.003427534527369871
2009-12-15,0.003682747999598246
2009-12-16,0.004532577903682719
2009-12-17,0.0056008484125405975
2009-12-18,0.007401559261817823
2009-12-19,0.006471222668889107
2009-12-20,0.005686988171064604
2009-12-21,0.005654829224157431
2009-12-22,0.005207496222957986
2009-12-23,0.0049259508044653426
2009-12-24,0.004901804755387211
2009-12-25,0.004720268643477159
2009-12-26,0.005482041587901701
2009-12-27,0.005233961199736735
2009-12-28,0.004275371364373986
2009-12-29,0.005308086295204097
2009-12-30,0.004357769810854247
2009-12-31,0.0042469378962269955
2010-01-01,0.004045853000674309
2010-01-02,0.0038470933072789447
2010-01-03,0.005646973100977594
2010-01-04,0.005465140855702165
2010-01-05,0.005942912026893178
2010-01-06,0.00486857825567503
2010-01-07,0.00457870012487364
2010-01-08,0.004528368899280788
2010-01-09,0.004449289881548707
2010-01-10,0.00556727613689639
2010-01-11,0.00463732610027124
2010-01-12,0.004615920571329037
2010-01-13,0.004738514880092459
2010-01-14,0.004114752683221592
2010-01-15,0.00404080930819052
2010-01-16,0.0035694908478254663
2010-01-17,0.0037268847795163583
2010-01-18,0.003543586109142452
2010-01-19,0.003502923811407102
2010-01-20,0.004443569479989876
2010-01-21,0.004897570804880779
2010-01-22,0.0037083507597936707
2010-01-23,0.004441360166551007
2010-01-24,0.004256612952265126
2010-01-25,0.005798296235229459
2010-01-26,0.005330053300533005
2010-01-27,0.004462706468203216
2010-01-28,0.004793370524833451
2010-01-29,0.0053066831883199096
2010-01-30,0.005625050223662711
2010-01-31,0.00440023467918289
