time,FeeMeanNtv
2015-06-30,0.00019295452378200684
2015-07-01,0.00014787665795429862
2015-07-02,0.00017067279054800845
2015-07-03,0.0001763799226094755
2015-07-04,0.00017051182022406912
2015-07-05,0.00018244503129194778
2015-07-06,0.00020758024949967384
2015-07-07,0.00022548123901314755
2015-07-08,0.00025411139337975884
2015-07-09,0.00021081770730656602
2015-07-10,0.00019221773377303016
2015-07-11,0.00021060515538249232
2015-07-12,0.00020777003388806873
2015-07-13,0.00020505983371197777
2015-07-14,0.00023823987017667505
2015-07-15,0.00022750708183625617
2015-07-16,0.00023749707470273999
2015-07-17,0.00020511109845714487
2015-07-18,0.0003221546626430522
2015-07-19,0.00017437204682984873
2015-07-20,0.0003176440759160214
2015-07-21,0.00019945473315946348
2015-07-22,0.00020081021483617868
2015-07-23,0.00024261457283249023
2015-07-24,0.00021219949817805154
2015-07-25,0.00020186814760309046
2015-07-26,0.0002301430816594867
2015-07-27,0.00027403135451051127
2015-07-28,0.0002332764857236626
2015-07-29,0.0002754638812152723
2015-07-30,0.0002748088863560014
2015-07-31,0.000256251218759239
2015-08-01,0.00022208829866490632
2015-08-02,0.00019410669574500828
2015-08-03,0.0002365202712798479
2015-08-04,0.00026271829846750787
2015-08-05,0.0002524656941377157
2015-08-06,0.0002756095104257071
2015-08-07,0.00022435552147611454
2015-08-08,0.00022001110678553738
2015-08-09,0.00021095838185242332
2015-08-10,0.00024627753752329035
2015-08-11,0.00022645792655693605
2015-08-12,0.00021682210070958366
2015-08-13,0.00021053144592774248
2015-08-14,0.00021882199315948535
2015-08-15,0.00021592504506934144
2015-08-16,0.0002116707579809743
2015-08-17,0.00020588202891462396
2015-08-18,0.00021279438917026414
2015-08-19,0.00020145966961808987
2015-08-20,0.00021778078419717531
2015-08-21,0.0002051893116805985
2015-08-22,0.0002122303094542144
2015-08-23,0.00021833981262694472
2015-08-24,0.00020951990688806792
2015-08-25,0.00020705630867570997
2015-08-26,0.0002052082969647517
2015-08-27,0.0001988738883288626
2015-08-28,0.00020316656054458044
2015-08-29,0.00019898759528263818
2015-08-30,0.00020193730067372077
2015-08-31,0.00021410753528764662
2015-09-01,0.00019428616481170912
2015-09-02,0.00036229401521824066
2015-09-03,0.00021387600688097194
2015-09-04,0.0002424414133393385
2015-09-05,0.00022380582966076442
2015-09-06,0.00020706741446697633
2015-09-07,0.00023556188322024633
2015-09-08,0.0002050685982661221
2015-09-09,0.0002168466996492077
2015-09-10,0.00022107152957883633
2015-09-11,0.00021216993903108865
2015-09-12,0.0002108086691136686
2015-09-13,0.00017382217902357064
2015-09-14,0.00018790802414201183
2015-09-15,0.00017637616059946583
2015-09-16,0.00015544679840822143
2015-09-17,0.00010435295610553351
2015-09-18,0.0001585476803478368
2015-09-19,0.00018823309178701703
2015-09-20,0.0001967058724545674
2015-09-21,0.00021729500251851296
2015-09-22,0.0002041184737527179
2015-09-23,0.0001946888508468952
2015-09-24,0.00019545413626135974
2015-09-25,0.00021051830293254898
2015-09-26,0.000217051346988699
2015-09-27,0.00020306234775258186
2015-09-28,0.0001884993517069048
2015-09-29,0.0001947205115458968
2015-09-30,0.00019225368123737158
2015-10-01,0.00021403688037041656
2015-10-02,0.00018557486798914357
2015-10-03,0.00018184354461986632
2015-10-04,0.00018703989779519844
2015-10-05,0.00018619639391247246
2015-10-06,0.0001782923566698464
2015-10-07,0.00018522460237023724
2015-10-08,0.0001929027551408561
2015-10-09,0.0002007698111727648
2015-10-10,0.0001959564432193868
2015-10-11,0.00018460818006639447
2015-10-12,0.00019053072677773503
2015-10-13,0.00018426990114514297
2015-10-14,0.0001921959401885331
2015-10-15,0.00018467066015395676
2015-10-16,0.00019819493815996327
2015-10-17,0.00019953082694056142
2015-10-18,0.00019083995922617998
2015-10-19,0.00019603983834899164
2015-10-20,0.00021794100244664486
2015-10-21,0.0001871692431784851
2015-10-22,0.00019904114894372683
2015-10-23,0.00020170374691010016
2015-10-24,0.00019242873028456982
2015-10-25,0.00018819400789151088
2015-10-26,0.00023011202155124032
2015-10-27,0.00018817168302515973
2015-10-28,0.00018893763334885887
2015-10-29,0.00021303243008474577
2015-10-30,0.00019051549110278982
2015-10-31,0.00018395831614811584
2015-11-01,0.00017966686478007975
2015-11-02,0.000193841450555763
2015-11-03,0.00020719174078155555
2015-11-04,0.00020322849720379448
2015-11-05,0.0001823848736036978
2015-11-06,0.00019300042330360468
2015-11-07,0.00017051611462054976
2015-11-08,0.00017619839665782613
2015-11-09,0.00018567169645658955
2015-11-10,0.0001811001438969974
2015-11-11,0.00017546240844000668
2015-11-12,0.00016566775219490232
2015-11-13,0.00016314425052554613
2015-11-14,0.00016260771833365742
2015-11-15,0.00016099283851060334
2015-11-16,0.00017502852117677844
2015-11-17,0.0001689295409800917
2015-11-18,0.00016527839146390538
2015-11-19,0.00016651386376464897
2015-11-20,0.00016501291909364602
2015-11-21,0.00015858818825965364
2015-11-22,0.00017939539790229176
2015-11-23,0.0001771628423976688
2015-11-24,0.00016588947040784835
2015-11-25,0.0001745129976588454
2015-11-26,0.00016901091021000606
2015-11-27,0.0001660031172763223
2015-11-28,0.0001600578293849853
2015-11-29,0.0001719072186201928
2015-11-30,0.00018753151215846552
2015-12-01,0.0001753619493908684
2015-12-02,0.00017726964935881664
2015-12-03,0.00018022200327184382
2015-12-04,0.0001653808118264198
2015-12-05,0.00016807993234759668
2015-12-06,0.00016822376070067512
2015-12-07,0.00017164388404765222
2015-12-08,0.00016790966340201515
2015-12-09,0.00016946703530492705
2015-12-10,0.0001694682221258298
2015-12-11,0.00020856827972711865
2015-12-12,0.00017930451402702516
2015-12-13,0.00017481365255769436
2015-12-14,0.00017559152651039578
