time,FlowInExNtv
2011-08-03,372.51614196
2011-08-04,86.71489041
2011-08-05,410.71216426
2011-08-06,258.50125737
2011-08-07,462.16687902
2011-08-08,405.83442601
2011-08-09,425.98538597
2011-08-10,141.65114286
2011-08-11,262.44231261
2011-08-12,222.5342638
2011-08-13,204.85644366
2011-08-14,166.72933733
2011-08-15,341.08834534
2011-08-16,285.06222616
2011-08-17,219.0739867
2011-08-18,289.0597936
2011-08-19,330.14736065
2011-08-20,344.24742645
2011-08-21,344.14665532
2011-08-22,233.52619474
2011-08-23,371.33577272
2011-08-24,368.6484598
2011-08-25,214.64782223
2011-08-26,671.64400943
2011-08-27,227.86565512
2011-08-28,127.67806214
2011-08-29,131.13440579
2011-08-30,1014.71594647
2011-08-31,520.39102802
2011-09-01,460.02596019
2011-09-02,461.77175979
2011-09-03,182.2413093
2011-09-04,304.8928625
2011-09-05,579.1124073
2011-09-06,718.95936442
2011-09-07,1043.27418773
2011-09-08,583.78085875
2011-09-09,1028.86359216
2011-09-10,1361.50066627
2011-09-11,1464.80511499
2011-09-12,747.02275358
2011-09-13,3608.13101543
2011-09-14,645.20516197
2011-09-15,2458.64513497
2011-09-16,1450.2759039
2011-09-17,3108.64171532
2011-09-18,3309.78053724
2011-09-19,4257.34798536
2011-09-20,4318.61358429
2011-09-21,5591.58644955
2011-09-22,4525.29992422
2011-09-23,2801.15935303
2011-09-24,2914.6681968
2011-09-25,3776.78274999
2011-09-26,6172.40300503
2011-09-27,10420.72478024
2011-09-28,6822.03520303
2011-09-29,1440.52777258
2011-09-30,2708.2451952
2011-10-01,1423.38114457
2011-10-02,598.95089017
2011-10-03,2153.67231124
2011-10-04,3007.14355173
2011-10-05,5695.79577485
2011-10-06,6467.98668679
2011-10-07,2622.75652624
2011-10-08,1322.03228893
2011-10-09,1074.86349869
2011-10-10,1746.85335506
2011-10-11,4668.39359712
2011-10-12,1654.35655485
2011-10-13,3199.66406196
2011-10-14,2910.67253345
2011-10-15,2083.1150813
2011-10-16,1918.90017093
2011-10-17,5959.85900884
2011-10-18,3510.10786444
2011-10-19,1927.07334888
2011-10-20,2550.35487854
2011-10-21,2885.86839564
2011-10-22,2659.00537923
2011-10-23,4810.98107197
2011-10-24,6162.46762819
2011-10-25,2892.15977568
2011-10-26,2467.34143902
2011-10-27,2656.77859262
2011-10-28,2163.56863518
2011-10-29,5723.05646283
2011-10-30,1924.47556321
2011-10-31,1978.7548442
2011-11-01,2547.05332223
2011-11-02,2627.06190526
2011-11-03,3107.03108859
2011-11-04,4758.10863793
2011-11-05,2379.75667934
2011-11-06,1704.8905089
2011-11-07,1746.78549858
2011-11-08,5701.29852995
2011-11-09,3429.82849957
2011-11-10,3808.82035561
2011-11-11,4659.63564731
2011-11-12,2405.27643916
2011-11-13,1573.8100451
2011-11-14,11965.34717642
2011-11-15,4279.11673374
2011-11-16,4988.37038425
2011-11-17,7523.98759615
2011-11-18,5361.39664637
2011-11-19,5126.90137944
2011-11-20,1612.8875787
2011-11-21,6005.14041057
2011-11-22,4053.77828938
2011-11-23,2886.19199718
2011-11-24,4530.1069566
2011-11-25,2317.09016648
2011-11-26,1631.95432197
2011-11-27,2397.38067986
2011-11-28,4317.90961167
2011-11-29,5404.1799246
2011-11-30,3357.98895253
2011-12-01,3800.61533873
2011-12-02,4158.73093258
2011-12-03,2823.70915766
2011-12-04,3774.19514756
2011-12-05,3666.96477734
2011-12-06,8750.44684745
2011-12-07,7654.11820183
2011-12-08,2918.79053946
2011-12-09,2980.00640103
2011-12-10,3891.26657921
2011-12-11,4607.12243767
2011-12-12,3065.04188402
2011-12-13,2638.8553783
2011-12-14,3395.24464809
2011-12-15,3552.90383254
2011-12-16,3847.86389761
2011-12-17,3827.63643946
2011-12-18,1735.8958952
2011-12-19,4139.79321382
2011-12-20,6390.60932546
2011-12-21,5756.65879383
2011-12-22,4368.47425061
2011-12-23,2133.8856815
2011-12-24,1155.94990127
2011-12-25,3079.07335206
2011-12-26,4777.53590661
2011-12-27,3004.26311077
2011-12-28,3658.72699166
2011-12-29,2392.5754807
2011-12-30,3143.0898381
2011-12-31,8381.56954666
2012-01-01,8274.67425498
2012-01-02,5248.13430668
2012-01-03,5574.47385605
2012-01-04,3851.14773223
2012-01-05,14183.34219073
2012-01-06,9444.58164027
2012-01-07,3939.78005439
2012-01-08,6123.95056936
2012-01-09,8690.18955696
2012-01-10,3980.93493968
2012-01-11,3789.78161805
2012-01-12,4074.50888772
2012-01-13,4691.46792295
2012-01-14,5514.79443273
2012-01-15,3162.12950736
2012-01-16,5994.25095551
2012-01-17,9557.33255416
2012-01-18,5287.18511886
2012-01-19,3103.50708808
2012-01-20,3354.74958961
2012-01-21,3497.2275437
2012-01-22,1215.03355305
2012-01-23,2599.18220582
2012-01-24,4115.93715497
2012-01-25,7558.53965453
2012-01-26,10161.06656423
2012-01-27,5089.6315082
2012-01-28,7439.77742942
2012-01-29,1866.10239327
2012-01-30,2025.64960141
2012-01-31,3368.72560664
2012-02-01,4580.54381375
2012-02-02,4643.49098607
2012-02-03,2644.45061537
2012-02-04,2900.71620105
2012-02-05,4278.90828209
2012-02-06,4578.82418374
2012-02-07,3447.55611941
2012-02-08,5460.31122778
2012-02-09,4089.68123994
2012-02-10,4590.84968948
2012-02-11,3911.05375646
2012-02-12,5253.03882341
2012-02-13,5451.77993459
2012-02-14,166679.63091304
2012-02-15,9436.55056285
2012-02-16,6611.00811504
2012-02-17,3773.42311858
2012-02-18,3610.32973622
2012-02-19,3789.65210471
2012-02-20,4398.75750725
2012-02-21,11160.17034466
2012-02-22,6475.72963328
2012-02-23,8365.57143072
2012-02-24,5632.99096924
2012-02-25,3351.80232184
2012-02-26,3882.34310212
2012-02-27,4623.88210464
2012-02-28,3708.3545425
2012-02-29,4935.86197564
2012-03-01,7612.15801161
2012-03-02,7941.71667481
2012-03-03,3624.37199545
2012-03-04,6746.14697532
2012-03-05,5000.80307488
2012-03-06,5061.67341211
2012-03-07,3741.43979589
2012-03-08,3021.57991201
2012-03-09,4854.58634092
2012-03-10,3934.37585436
2012-03-11,2128.70007127
2012-03-12,5837.00534635
2012-03-13,13133.93622851
2012-03-14,6259.04764521
2012-03-15,6971.75789226
2012-03-16,5058.63233437
2012-03-17,5320.82407362
2012-03-18,5650.56841482
2012-03-19,8753.76505775
2012-03-20,4858.89309378
2012-03-21,7269.15443556
2012-03-22,10133.51314113
2012-03-23,6714.24663403
2012-03-24,4270.16449109
2012-03-25,4417.5189316
2012-03-26,9130.4697148
2012-03-27,9636.21100035
2012-03-28,6582.59029868
2012-03-29,12122.81701844
2012-03-30,9456.4078209
2012-03-31,5687.06830252
2012-04-01,4151.78203172
2012-04-02,13653.16361643
2012-04-03,5673.32675336
2012-04-04,10691.91724343
2012-04-05,5997.22994676
2012-04-06,5221.26038571
2012-04-07,4852.11613467
2012-04-08,4333.88298478
2012-04-09,12668.46773953
2012-04-10,10378.64547057
2012-04-11,7150.929098
2012-04-12,14035.31127788
2012-04-13,18064.61072951
2012-04-14,6624.88143965
2012-04-15,2275.41752999
2012-04-16,12471.2947402
2012-04-17,6613.35780589
2012-04-18,18535.45474981
2012-04-19,17014.73400846
2012-04-20,9332.30829746
2012-04-21,5813.26362336
2012-04-22,5016.34268271
2012-04-23,14033.81055695
2012-04-24,8213.72021072
2012-04-25,7664.05347102
2012-04-26,11441.03766885
2012-04-27,4745.43132037
2012-04-28,7463.14513325
2012-04-29,4994.94618183
2012-04-30,4500.5544208
2012-05-01,7071.39560814
2012-05-02,16874.83762239
2012-05-03,6226.01213868
2012-05-04,7276.17819995
2012-05-05,7605.58822978
2012-05-06,10747.13494902
2012-05-07,8772.99943322
2012-05-08,10966.04128451
2012-05-09,18797.79990662
2012-05-10,20384.90626863
2012-05-11,12661.70301613
2012-05-12,5643.6659667
2012-05-13,5477.2590717
2012-05-14,8534.44603997
2012-05-15,15186.06311843
2012-05-16,9003.43181007
2012-05-17,7469.14240261
2012-05-18,4898.80657264
2012-05-19,4044.96367285
2012-05-20,4083.6312298
2012-05-21,15395.9603451
2012-05-22,5167.31324092
2012-05-23,6654.39970099
2012-05-24,5194.13479344
2012-05-25,13763.44466866
2012-05-26,7234.0262584
2012-05-27,13933.29984478
2012-05-28,10983.45495574
2012-05-29,7016.70208737
2012-05-30,8645.79559135
2012-05-31,10889.68253986
2012-06-01,17906.17670873
2012-06-02,3778.78390942
2012-06-03,3627.81916863
2012-06-04,3279.10411658
2012-06-05,7165.47969683
2012-06-06,9384.63171497
2012-06-07,15005.15567526
2012-06-08,10358.394356
2012-06-09,19452.02136054
2012-06-10,5443.48479186
2012-06-11,15002.33677113
2012-06-12,20180.01530193
2012-06-13,13987.71331792
2012-06-14,11741.49659002
2012-06-15,9119.20819012
2012-06-16,16798.3563545
2012-06-17,8054.29529224
2012-06-18,7844.06612102
2012-06-19,11708.60398735
2012-06-20,9116.4185714
2012-06-21,10903.79488961
2012-06-22,18075.01826467
2012-06-23,9115.94821699
2012-06-24,15322.7880521
2012-06-25,13981.71163347
2012-06-26,14134.63728843
2012-06-27,21132.30322175
2012-06-28,10811.86904728
2012-06-29,9888.66014645
2012-06-30,6798.39491224
2012-07-01,7223.25179152
2012-07-02,27017.76378294
2012-07-03,9075.49514714
2012-07-04,13922.61308737
2012-07-05,9047.14923554
2012-07-06,11053.78515997
2012-07-07,4421.91568128
2012-07-08,9134.84486772
2012-07-09,16996.32476981
2012-07-10,10821.837945
2012-07-11,9248.83515012
2012-07-12,10879.80987492
2012-07-13,11368.61681059
2012-07-14,6245.40020806
2012-07-15,9094.27829314
2012-07-16,15059.58853129
2012-07-17,18194.72146299
2012-07-18,19541.28985161
2012-07-19,12315.3293588
2012-07-20,11601.56734267
2012-07-21,6205.06194813
2012-07-22,14248.74009941
2012-07-23,10183.12101713
2012-07-24,11340.3897874
2012-07-25,8607.45692893
2012-07-26,5324.24620479
2012-07-27,4908.80728294
2012-07-28,6393.12050166
2012-07-29,4109.99410061
2012-07-30,10775.79356724
2012-07-31,12712.8617644
2012-08-01,12495.08623469
2012-08-02,15927.94601368
2012-08-03,9006.22255784
2012-08-04,7171.48003607
2012-08-05,10258.35441646
2012-08-06,5227.30746972
2012-08-07,7952.89875496
2012-08-08,8181.84116378
2012-08-09,11472.47283713
2012-08-10,7746.76599138
2012-08-11,4675.51026561
2012-08-12,3260.53789015
2012-08-13,11372.51962914
2012-08-14,9519.15980089
2012-08-15,7520.99314243
2012-08-16,8953.89616772
2012-08-17,18659.58780092
2012-08-18,8980.02788198
2012-08-19,13902.80075392
2012-08-20,11822.72176461
2012-08-21,9951.57805154
2012-08-22,12710.78535352
2012-08-23,6863.63927001
2012-08-24,7484.36185093
2012-08-25,2714.5044185
2012-08-26,3778.08120883
2012-08-27,9566.95756023
2012-08-28,9734.00268505
2012-08-29,7286.85224483
2012-08-30,8644.32443643
2012-08-31,7210.68876235
2012-09-01,3820.29894639
2012-09-02,3791.33088549
2012-09-03,5046.56590933
2012-09-04,6193.8869882
2012-09-05,6490.55657462
2012-09-06,12359.22554037
2012-09-07,5437.54569373
2012-09-08,6115.44972577
2012-09-09,3211.51201096
2012-09-10,6400.31931161
2012-09-11,11887.24361977
2012-09-12,9165.78527201
2012-09-13,7897.36452577
2012-09-14,6699.08352593
2012-09-15,3585.38741777
2012-09-16,6239.98612381
2012-09-17,10449.02959489
2012-09-18,11627.5592813
2012-09-19,13637.58026283
2012-09-20,6503.35246004
2012-09-21,7012.94303655
2012-09-22,4989.69634691
2012-09-23,4236.36900412
2012-09-24,12922.8743256
2012-09-25,8392.68380293
2012-09-26,6353.7038974
2012-09-27,8888.77481053
2012-09-28,8005.56779007
2012-09-29,5101.46733874
2012-09-30,5080.16073197
2012-10-01,12115.4819548
2012-10-02,15639.51580307
2012-10-03,17399.41887658
2012-10-04,20566.79824324
2012-10-05,11270.72940599
2012-10-06,5582.16285583
2012-10-07,18410.71333489
2012-10-08,13836.41941445
2012-10-09,8520.91987068
2012-10-10,13626.43975883
2012-10-11,10365.89101114
2012-10-12,11063.43775905
2012-10-13,11943.3010652
2012-10-14,5747.77556106
2012-10-15,7301.06547387
2012-10-16,8702.13876314
2012-10-17,8255.85952768
2012-10-18,11087.22424838
2012-10-19,10111.23926778
2012-10-20,7293.29439036
2012-10-21,7580.92630959
2012-10-22,15690.07188484
2012-10-23,14477.35891883
2012-10-24,9768.80046758
2012-10-25,21098.63182527
2012-10-26,14445.28726917
2012-10-27,6261.58926621
2012-10-28,4585.80736433
2012-10-29,8810.4727324
2012-10-30,8495.35976697
2012-10-31,9354.7214828
2012-11-01,8340.34482031
2012-11-02,12442.42895478
2012-11-03,5654.85940058
2012-11-04,11818.06758103
2012-11-05,18401.84939079
2012-11-06,10038.19728449
2012-11-07,15789.59866304
2012-11-08,12950.54798306
2012-11-09,10866.14697735
2012-11-10,7907.47867726
2012-11-11,12761.38974195
2012-11-12,10822.39315472
2012-11-13,7266.40488707
2012-11-14,8650.90043627
2012-11-15,6563.46207111
2012-11-16,16687.25503731
2012-11-17,7235.54856382
2012-11-18,8335.26425475
2012-11-19,11489.61893977
2012-11-20,9056.65185097
2012-11-21,8303.67040847
2012-11-22,19310.48922674
2012-11-23,8734.55362281
2012-11-24,7748.85762384
2012-11-25,5455.33169725
2012-11-26,10435.17850653
2012-11-27,14590.92051623
2012-11-28,9723.02261075
2012-11-29,12709.10339262
2012-11-30,10728.87995693
2012-12-01,5912.68643619
2012-12-02,6202.7882735
2012-12-03,12008.84600301
2012-12-04,13653.69179607
2012-12-05,11859.43869426
2012-12-06,11454.39902394
2012-12-07,17076.25871664
2012-12-08,5493.47432574
2012-12-09,4849.55587957
2012-12-10,9075.934328
2012-12-11,10669.38047021
2012-12-12,9004.67587155
2012-12-13,11945.60946545
2012-12-14,12877.7670273
2012-12-15,6993.05998474
2012-12-16,3883.59859767
2012-12-17,12894.65367871
2012-12-18,11224.18767252
2012-12-19,20415.22143973
2012-12-20,11126.10586731
2012-12-21,10820.68875998
2012-12-22,5185.07945528
2012-12-23,5488.61413545
2012-12-24,7542.89745754
2012-12-25,4774.71499294
2012-12-26,4590.12349585
2012-12-27,9322.09664789
2012-12-28,8148.11214078
2012-12-29,4591.59518927
2012-12-30,6793.69840611
2012-12-31,8275.80440667
2013-01-01,2033.98013827
2013-01-02,6243.88259072
2013-01-03,7377.50972846
2013-01-04,7802.4489434
2013-01-05,11249.12136727
2013-01-06,3970.56204709
2013-01-07,12342.29014024
2013-01-08,10756.25392001
2013-01-09,6714.15240279
2013-01-10,10166.19573937
2013-01-11,9628.78080359
2013-01-12,5293.9136427
2013-01-13,7824.3603764
2013-01-14,8154.79448769
2013-01-15,11797.24316995
2013-01-16,9235.95771551
2013-01-17,16031.42739968
2013-01-18,22719.78248585
2013-01-19,5127.98232931
2013-01-20,9247.41781536
2013-01-21,19739.50007753
2013-01-22,14976.1704334
2013-01-23,13691.22821016
2013-01-24,21538.96766853
2013-01-25,12476.12377059
2013-01-26,4863.17305205
2013-01-27,6682.41517618
2013-01-28,10235.4973514
2013-01-29,17302.38177743
2013-01-30,11017.85079587
2013-01-31,16184.57223154
2013-02-01,13960.77788767
2013-02-02,10895.96635812
2013-02-03,6062.10560964
2013-02-04,9467.22657143
2013-02-05,7557.13810227
2013-02-06,10389.40568412
2013-02-07,9546.27597173
2013-02-08,10613.23299594
2013-02-09,9450.10938642
2013-02-10,5728.62844583
2013-02-11,12051.69351293
2013-02-12,17107.03647152
2013-02-13,13819.31523554
2013-02-14,13880.71151933
2013-02-15,10593.70301396
2013-02-16,9013.66900449
2013-02-17,11870.13520569
2013-02-18,12062.85660487
2013-02-19,13522.86149221
2013-02-20,8214.2369169
2013-02-21,14215.47519993
2013-02-22,12999.27544074
2013-02-23,10699.75813596
2013-02-24,9460.38770577
2013-02-25,8563.04127701
2013-02-26,11487.43169962
2013-02-27,10206.64449969
2013-02-28,20531.58489612
2013-03-01,12001.5536983
2013-03-02,8368.73958341
2013-03-03,4553.35602737
2013-03-04,15120.31408088
2013-03-05,20448.77962646
2013-03-06,27197.39525977
2013-03-07,23331.75985437
2013-03-08,9508.76751926
2013-03-09,8998.51663744
2013-03-10,8858.91663291
2013-03-11,13431.47481849
2013-03-12,18611.58812671
2013-03-13,18004.43571501
2013-03-14,17188.25701876
2013-03-15,11218.55264317
2013-03-16,8228.39012903
2013-03-17,6990.1204242
2013-03-18,13355.67742989
2013-03-19,26315.18570329
2013-03-20,20582.092403
2013-03-21,28117.94366561
2013-03-22,17100.21209031
2013-03-23,18855.13268678
2013-03-24,9424.03564742
2013-03-25,13813.67236569
2013-03-26,17413.20090839
2013-03-27,14191.77416817
2013-03-28,24463.60008309
2013-03-29,19118.94480858
2013-03-30,9860.15051767
2013-03-31,8779.34423453
2013-04-01,24348.90533932
2013-04-02,42100.08829785
2013-04-03,42321.1413943
2013-04-04,21217.4598274
2013-04-05,28191.80767425
2013-04-06,23343.71837701
2013-04-07,16786.46061876
2013-04-08,22671.88912593
2013-04-09,28148.08097721
2013-04-10,47034.42936892
2013-04-11,64479.86824938
2013-04-12,41772.94245125
2013-04-13,24566.4947923
2013-04-14,16732.63104934
2013-04-15,43461.65237105
2013-04-16,36958.00869453
2013-04-17,22933.77722386
2013-04-18,24699.30630853
2013-04-19,21861.90738944
2013-04-20,10233.40878329
2013-04-21,14893.55199383
2013-04-22,13280.69800455
2013-04-23,12903.94972768
2013-04-24,25458.30456259
2013-04-25,21161.75406712
2013-04-26,13661.68346727
2013-04-27,13906.92033589
2013-04-28,12638.85845172
2013-04-29,14711.6109025
2013-04-30,17926.57023416
2013-05-01,27730.86250366
2013-05-02,25816.07360643
2013-05-03,32792.8942042
2013-05-04,11448.54685407
2013-05-05,9301.12623369
2013-05-06,18633.25948829
2013-05-07,14869.34513724
2013-05-08,18305.11752351
2013-05-09,8937.74435597
2013-05-10,19144.31955296
2013-05-11,9455.29997947
2013-05-12,7731.11291349
2013-05-13,9466.99551057
2013-05-14,18964.78665816
2013-05-15,19856.47860272
2013-05-16,24074.99572096
2013-05-17,15877.80701349
2013-05-18,13038.82728364
2013-05-19,10095.59226113
2013-05-20,9156.14636908
2013-05-21,13206.05374849
2013-05-22,13186.62599313
2013-05-23,15262.03357739
2013-05-24,21183.75114929
2013-05-25,7257.66811459
2013-05-26,7204.24632265
2013-05-27,11111.52757698
2013-05-28,10395.10427665
2013-05-29,10791.79820388
2013-05-30,10530.81678981
2013-05-31,8471.72866214
2013-06-01,8071.039863
2013-06-02,15147.02695576
2013-06-03,16082.13514724
2013-06-04,12474.58903956
2013-06-05,10748.18512515
2013-06-06,9892.93921556
2013-06-07,22273.20500552
2013-06-08,12647.7124328
2013-06-09,23837.34863981
2013-06-10,11832.17746687
2013-06-11,9681.80075713
2013-06-12,12547.02335155
2013-06-13,14942.81865414
2013-06-14,12963.13248666
2013-06-15,7003.77593894
2013-06-16,11152.99946515
2013-06-17,7134.49665615
2013-06-18,13280.11891094
2013-06-19,9439.1132023
2013-06-20,18537.44022104
2013-06-21,22429.27016457
2013-06-22,12085.04952426
2013-06-23,10304.42173896
2013-06-24,20350.44137256
2013-06-25,14895.08539433
2013-06-26,9859.27403937
2013-06-27,18792.97500196
2013-06-28,19205.14313585
2013-06-29,9824.54931996
2013-06-30,11948.47056858
2013-07-01,37664.59550442
2013-07-02,17748.91583123
2013-07-03,28959.05778021
2013-07-04,21111.34327234
2013-07-05,37668.58860756
2013-07-06,16555.91031487
2013-07-07,10156.91598656
2013-07-08,15655.09521773
2013-07-09,15010.9936156
2013-07-10,29734.04530359
2013-07-11,17658.91445998
2013-07-12,27902.70060602
2013-07-13,15450.95635768
2013-07-14,8346.92104793
2013-07-15,23148.9510135
2013-07-16,16255.66119081
2013-07-17,14910.2772885
2013-07-18,48863.47358903
2013-07-19,14986.60839575
2013-07-20,8232.32389157
2013-07-21,6282.13153211
2013-07-22,11384.22046518
2013-07-23,17557.84659652
2013-07-24,14847.14495052
2013-07-25,11723.55821389
2013-07-26,12294.83241849
2013-07-27,7281.08950842
2013-07-28,9616.34928576
2013-07-29,18068.1147426
2013-07-30,17732.17056984
2013-07-31,25206.05696534
2013-08-01,14280.54082527
2013-08-02,21897.09935739
2013-08-03,10258.06616018
2013-08-04,4791.86865955
2013-08-05,14449.9624412
2013-08-06,13151.05661966
2013-08-07,16001.79062315
2013-08-08,21852.17304868
2013-08-09,14386.73224699
2013-08-10,9089.41200876
2013-08-11,5960.0017093
2013-08-12,11523.48076958
2013-08-13,20022.60721181
2013-08-14,22526.46409905
2013-08-15,19497.61329397
2013-08-16,16205.15600324
2013-08-17,8935.75826727
2013-08-18,11131.1523731
2013-08-19,24851.24301498
2013-08-20,26496.54689095
2013-08-21,23448.7847829
2013-08-22,18548.83507281
2013-08-23,14142.72586098
2013-08-24,7090.35941551
2013-08-25,11136.72168453
2013-08-26,23122.50994446
2013-08-27,23854.1192132
2013-08-28,17894.98243874
2013-08-29,12745.06580973
2013-08-30,21300.4906981
2013-08-31,17018.79200448
2013-09-01,11050.63217819
2013-09-02,15127.42211779
2013-09-03,19221.92084541
2013-09-04,22228.58886377
2013-09-05,30124.38670204
2013-09-06,25277.30170009
2013-09-07,14542.28346588
2013-09-08,9002.622834
2013-09-09,14144.88440142
2013-09-10,13530.31149001
2013-09-11,12397.05766017
2013-09-12,17737.04727833
2013-09-13,13572.74541565
2013-09-14,12696.80951116
2013-09-15,6404.30104006
2013-09-16,14804.76382506
2013-09-17,19192.53923962
2013-09-18,28196.74177493
2013-09-19,16360.18524033
2013-09-20,16176.83806503
2013-09-21,7881.31184721
2013-09-22,4998.11569067
2013-09-23,16297.36266391
2013-09-24,18381.83473192
2013-09-25,17799.37002051
2013-09-26,14788.12934151
2013-09-27,17475.84804573
2013-09-28,18021.86552822
2013-09-29,11587.96105077
2013-09-30,16521.83513332
2013-10-01,31637.75543035
2013-10-02,58242.49720853
2013-10-03,23856.13557998
2013-10-04,20568.59162997
2013-10-05,11014.60241918
2013-10-06,5900.19158763
2013-10-07,17055.71782937
2013-10-08,21074.68137697
2013-10-09,24480.66148512
2013-10-10,28889.70437597
2013-10-11,18215.96283636
2013-10-12,16387.77718125
2013-10-13,20120.91523331
2013-10-14,42446.51686248
2013-10-15,34535.45377738
2013-10-16,26414.23331047
2013-10-17,25033.75879352
2013-10-18,35734.98829775
2013-10-19,40554.17087818
2013-10-20,32915.65281971
2013-10-21,47846.7523484
2013-10-22,55370.4929976
2013-10-23,32488.70308014
2013-10-24,33063.29148969
2013-10-25,32678.91734983
2013-10-26,16954.66592493
2013-10-27,12873.61905698
2013-10-28,13728.53789928
2013-10-29,16205.41029848
2013-10-30,32429.34467479
2013-10-31,17071.09725104
2013-11-01,17417.02733009
2013-11-02,9967.51041839
2013-11-03,16211.34332998
2013-11-04,29689.68374052
2013-11-05,48984.0875928
2013-11-06,33641.92307697
2013-11-07,55673.48650277
2013-11-08,50001.06706486
2013-11-09,41329.55466341
2013-11-10,27937.39997154
2013-11-11,18415.95369267
2013-11-12,25929.68791908
2013-11-13,40778.17509384
2013-11-14,33199.23174749
2013-11-15,33393.89945209
2013-11-16,21446.5323606
2013-11-17,28077.05752163
2013-11-18,57565.96002181
2013-11-19,69843.08243522
2013-11-20,42365.97751091
2013-11-21,29484.83646408
2013-11-22,34833.54955208
2013-11-23,30983.3586759
2013-11-24,19690.64007013
2013-11-25,30087.3151829
2013-11-26,56467.03647144
2013-11-27,52997.14204539
2013-11-28,89968.19633222
2013-11-29,59784.58499678
2013-11-30,33347.28996885
2013-12-01,49404.6891962
2013-12-02,37649.27938035
2013-12-03,24255.60549756
2013-12-04,32960.97811102
2013-12-05,54399.1018306
2013-12-06,43695.62603295
2013-12-07,47118.07123712
2013-12-08,29844.88233499
2013-12-09,27322.36691924
2013-12-10,46482.72558603
2013-12-11,22502.63650984
2013-12-12,25349.16111478
2013-12-13,23801.34601549
2013-12-14,13483.37963586
2013-12-15,14547.11259151
2013-12-16,49350.43417267
2013-12-17,38881.09000106
2013-12-18,87094.52830598
2013-12-19,47972.48140937
2013-12-20,33317.09328247
2013-12-21,18941.99550082
2013-12-22,24469.0861794
2013-12-23,13753.47498182
2013-12-24,31176.44489465
2013-12-25,23061.1907529
2013-12-26,18655.89137698
2013-12-27,17444.63523875
2013-12-28,10995.69827184
2013-12-29,11439.86780344
2013-12-30,29937.54263379
2013-12-31,11654.54021445
2014-01-01,11483.73460368
2014-01-02,33519.0926079
2014-01-03,55224.23284138
2014-01-04,14298.52242489
2014-01-05,27470.87767395
2014-01-06,34143.96696861
2014-01-07,25333.13520324
2014-01-08,21960.31684953
2014-01-09,15405.09490987
2014-01-10,9839.85204615
2014-01-11,15100.1296872
2014-01-12,15315.07730159
2014-01-13,21369.2617926
2014-01-14,11751.01867062
2014-01-15,17256.02051859
2014-01-16,15643.22105449
2014-01-17,17134.15386386
2014-01-18,11146.59578173
2014-01-19,14075.67118414
2014-01-20,20394.87351789
2014-01-21,22982.81451557
2014-01-22,16931.45380866
2014-01-23,17316.88068119
2014-01-24,22703.22058075
2014-01-25,12465.19996569
2014-01-26,16414.91490902
2014-01-27,30904.73989079
2014-01-28,27204.57612177
2014-01-29,17338.39933962
2014-01-30,15743.64372159
2014-01-31,13108.63269137
2014-02-01,11158.44039377
2014-02-02,12439.12509044
