time,FeeMeanUSD
2010-07-18,0.00027344193548387095
2010-07-19,1.2095808383233534e-05
2010-07-20,0.0
2010-07-21,0.0
2010-07-22,0.0
2010-07-23,2.7542213484937043e-06
2010-07-24,0.0
2010-07-25,9.244072872649737e-05
2010-07-26,0.00037004405286343616
2010-07-27,0.00015164768712103602
2010-07-28,2.1628200598349645e-05
2010-07-29,0.00010050242326332796
2010-07-30,0.00013756889712374253
2010-07-31,0.0002227574220624991
2010-08-01,0.00014289516129032258
2010-08-02,8.129032258064515e-05
2010-08-03,0.0
2010-08-04,0.0
2010-08-05,0.0
2010-08-06,0.0006688297544471978
2010-08-07,0.0
2010-08-08,0.0
2010-08-09,0.0012941617021276599
2010-08-10,0.0
2010-08-11,0.0
2010-08-12,0.0
2010-08-13,0.0
2010-08-14,0.0
2010-08-15,0.0
2010-08-16,0.00014726510067114096
2010-08-17,0.0
2010-08-18,0.00045922077922077925
2010-08-19,0.0
2010-08-20,0.0
2010-08-21,0.0
2010-08-22,0.0
2010-08-23,0.0
2010-08-24,0.0003132530120481928
2010-08-25,0.0
2010-08-26,0.0
2010-08-27,0.0
2010-08-28,4.18e-10
2010-08-29,0.0001383783783783784
2010-08-30,0.00012994
2010-08-31,5.196857480314961e-05
2010-09-01,1.5836178979310345e-05
2010-09-02,0.0
2010-09-03,0.0
2010-09-04,0.0
2010-09-05,4.311188811188812e-06
2010-09-06,4.9280000000000003e-11
2010-09-07,0.0
2010-09-08,7.011494252873562e-11
2010-09-09,3.295418086765995e-05
2010-09-10,3.567925395018819e-11
2010-09-11,0.0
2010-09-12,4.6356783919597985e-05
2010-09-13,2.3288389513108614e-11
2010-09-14,2.622564778854626e-06
2010-09-15,0.0
2010-09-16,0.0
2010-09-17,0.0
2010-09-18,6.654545454545455e-05
2010-09-19,0.0
2010-09-20,0.0
2010-09-21,9.928684627575276e-12
2010-09-22,0.0
2010-09-23,0.0
2010-09-24,0.0
2010-09-25,0.0
2010-09-26,0.0
2010-09-27,3.5543109626784685e-06
2010-09-28,0.00031387891802010185
2010-09-29,0.0
2010-09-30,0.0
2010-10-01,7.79888893412749e-05
2010-10-02,1.1806019356435645e-06
2010-10-03,2.0180639786052696e-06
2010-10-04,2.351997369959087e-10
2010-10-05,0.0
2010-10-06,2.963761904761905e-10
2010-10-07,0.0
2010-10-08,0.0
2010-10-09,0.0
2010-10-10,0.0
2010-10-11,5.627717391304348e-10
2010-10-12,0.0
2010-10-13,0.00019627249302249942
2010-10-14,0.0
2010-10-15,0.0
2010-10-16,0.0
2010-10-17,0.0
2010-10-18,6.243902439024392e-06
2010-10-19,0.0
2010-10-20,0.0
2010-10-21,2.374223e-06
2010-10-22,0.0
2010-10-23,1.533085400487786e-05
2010-10-24,0.0
2010-10-25,0.0
2010-10-26,0.0
2010-10-27,0.0
2010-10-28,0.0
2010-10-29,0.0
2010-10-30,0.0
2010-10-31,0.0
2010-11-01,0.0
2010-11-02,0.0
2010-11-03,0.0
2010-11-04,0.0
2010-11-05,0.0
2010-11-06,0.0
2010-11-07,0.0
2010-11-08,0.0008375238255757849
2010-11-09,0.0
2010-11-10,0.0
2010-11-11,0.0
2010-11-12,0.0
2010-11-13,0.0
2010-11-14,0.0
2010-11-15,2.361425449722379e-05
2010-11-16,0.0
2010-11-17,0.0
2010-11-18,0.0
2010-11-19,2.988188553634704e-06
2010-11-20,3.189949100792235e-05
2010-11-21,2.751496398498529e-05
2010-11-22,0.0008306532663316582
2010-11-23,0.0008150190217391304
2010-11-24,8.831604674655203e-06
2010-11-25,0.0
2010-11-26,9.662809917355371e-05
2010-11-27,2.1358490566037734e-05
2010-11-28,0.0
2010-11-29,2.8003172849175544e-05
2010-11-30,7.977011494252874e-06
2010-12-01,2.808641975308642e-05
2010-12-02,5.907335907335907e-05
2010-12-03,1.2679802200851313e-05
2010-12-04,1.1768400459543493e-05
2010-12-05,4.226042031950125e-05
2010-12-06,4.043058999999999e-05
2010-12-07,5.103161671240216e-05
2010-12-08,3.387234042553192e-05
2010-12-09,2.7304807421359544e-05
2010-12-10,6.235807860262009e-05
2010-12-11,7.284070692098093e-05
2010-12-12,6.776879029099427e-05
2010-12-13,0.00013900721168241112
2010-12-14,2.5678534210851062e-05
2010-12-15,3.653120722347629e-05
2010-12-16,7.231346989273743e-05
2010-12-17,0.00019349155167295678
