time,TxTfrValMeanUSD
2010-08-28,3.30241225997318
2010-09-01,2.630990625015625
2010-09-05,8.665290995260664
2010-09-09,3.189798130859813
2010-09-13,4.159633004926108
2010-09-17,19.697530188679245
2010-09-21,0.9970397177419354
2010-09-25,2.8842608519269777
2010-09-29,1.0082971232876712
2010-10-03,5.635680927835052
2010-10-07,19.75707902097902
2010-10-11,10.086427397260275
2010-10-15,17.452445381526108
2010-10-19,3.1822785588752196
2010-10-23,4.2021626760563375
2010-10-27,27.647661279461282
2010-10-31,46.77452827225131
2010-11-04,151.5565205357143
2010-11-08,552.6244731638418
2010-11-12,19.839962130177515
2010-11-16,1.6393578215527231
2010-11-20,17.538602560455193
2010-11-24,1.7328640207715134
2010-11-28,6.826617529880478
2010-12-02,20.827922790697674
2010-12-06,40.40559224314801
2010-12-10,7.416678149100257
2010-12-14,4.360058618312978
2010-12-18,10.479356796116505
2010-12-22,6.706294613077327
2010-12-26,2.665965625
2010-12-30,11.147853025936598
2011-01-03,5.354167582417582
2011-01-07,4.274956107933239
2011-01-11,10.957169880938167
2011-01-15,4.456325752287412
2011-01-19,10.240499341942542
2011-01-23,12.857986003573556
2011-01-27,247.30092308930006
2011-01-31,11.028421374045802
2011-02-04,18.250668292682928
2011-02-08,14.28505397070162
2011-02-12,7.8920975671406
2011-02-16,6.803596724533246
2011-02-20,13.695543395379863
2011-02-24,9.947710197569009
2011-02-28,15.280011542965509
2011-03-04,12.901766934383161
2011-03-08,12.799445153319738
2011-03-12,15.506402603575028
2011-03-16,14.264105281921253
2011-03-20,6.214625089028206
2011-03-24,17.174340534759267
2011-03-28,9.599240200400615
2011-04-01,12.64817678039468
2011-04-05,10.711908360464172
2011-04-09,13.630163348234623
2011-04-13,13.939173034781632
2011-04-17,172.0609487642369
2011-04-21,28.474892015939936
2011-04-25,17.069179053616715
2011-04-29,76.6330019679597
2011-05-03,58.47047799996289
2011-05-07,44.639737772167855
2011-05-11,87.69549888014996
2011-05-15,210.94169762104738
2011-05-19,36.10119177924866
2011-05-23,46.12379398062416
2011-05-27,300.75448146891944
2011-05-31,48.37390342517462
2011-06-04,64.206003752186
2011-06-08,177.74999007979838
2011-06-12,630.5387707340141
2011-06-16,119.99535682680003
2011-06-20,58.36158843404176
2011-06-24,55.01632359511265
2011-06-28,79.50550753633547
2011-07-02,45.10689563425473
2011-07-06,45.11335256722907
2011-07-10,31.517580912490114
2011-07-14,26.095138901943038
2011-07-18,117.87039755441131
2011-07-22,38.49358881387349
2011-07-26,42.27100937687747
2011-07-30,35.93871925333372
2011-08-03,73.37328720076326
2011-08-07,55.49168174533064
2011-08-11,37.19525886906009
2011-08-29,24.089027227536935
2011-09-02,29.867426047749763
2011-09-06,38.72690524511158
2011-09-10,28.50574498669022
2011-09-14,31.870111222190687
2011-09-18,20.71390901597267
2011-09-22,27.388338177364172
2011-09-26,20.378282356742368
2011-09-30,23.771640654076744
2011-10-04,33.195142841451236
2011-10-08,27.27530373350758
2011-10-12,22.754254044028432
2011-10-16,24.577591737704548
2011-10-20,24.26888481516622
2011-10-24,31.891755741004296
2011-10-28,39.147193095436265
2011-11-01,30.682061929636028
2011-11-05,25.30047288285026
2011-11-09,62.24253320224355
2011-11-13,16.770270612628597
2011-11-17,724.3846037727676
2011-11-21,1185.0783821368934
2011-11-25,43.80372302026825
2011-11-29,605.411907967383
2011-12-03,1006.465334868905
2011-12-07,1473.0589731983534
2011-12-11,91.56480557996224
2011-12-15,51.16841161254964
2011-12-19,48.994313350381944
2011-12-23,40.727155125062325
2011-12-27,40.225942889431494
2011-12-31,40.4444256965089
2012-01-04,66.10338126907205
2012-01-08,58.65048716385312
2012-01-12,70.37999761603488
2012-01-16,80.1099259421978
2012-01-20,61.49640711032559
2012-01-24,73.81662733637603
2012-01-28,50.44776636834433
2012-02-01,68.11533675819244
2012-02-05,52.79543586656082
2012-02-09,36.52920322145314
2012-02-13,76.7751347609449
2012-02-17,72.081233553299
2012-02-21,47.16447976234375
2012-02-25,65.58584960190092
2012-02-29,40.660333498197524
2012-03-04,30.527285213863298
2012-03-08,42.68827651502417
2012-03-12,41.26149453972981
2012-03-16,57.736348655462876
2012-03-20,66.34096909686957
2012-03-24,40.399383409966546
2012-03-28,49.810432069647426
2012-04-01,41.95154209472221
2012-04-05,47.19794585187595
2012-04-09,127.74454049147387
2012-04-13,69.97821245519941
2012-04-17,53.955882604129584
2012-04-21,72.58598041850168
2012-04-25,63.59951064806628
2012-04-29,52.74468507711398
2012-05-03,29.945198196883116
2012-05-07,31.593091134785407
2012-05-11,40.05558266023867
2012-05-15,27.029258686094845
2012-05-19,13.396050529870061
2012-05-23,22.51132863294192
2012-05-27,20.427215767867377
2012-05-31,62.733684169998384
2012-06-04,19.440730372225335
2012-06-08,29.191316761382485
2012-06-12,33.03556359908303
2012-06-16,19.05447907049273
2012-06-20,27.996862964513994
2012-06-24,39.76597329073635
2012-06-28,26.47639759998832
2012-07-02,33.88336804373181
2012-07-06,27.951683879706305
2012-07-10,28.94526972538023
2012-07-14,48.314619773932
2012-07-18,44.963746889375194
2012-07-22,26.75870527423903
2012-07-26,39.84680606634973
2012-07-30,38.734717015252706
2012-08-03,57.07212791834619
2012-08-07,46.46183276951963
2012-08-11,32.31649380948678
2012-08-15,27.619699310789354
2012-08-19,184.76716818563307
2012-08-23,59.970147787188715
2012-08-27,66.41349633134958
2012-08-31,64.46272543162269
2012-09-04,44.684127189027954
2012-09-08,46.29175103366102
2012-09-12,64.58727685068416
2012-09-16,68.9366419923761
2012-09-20,71.10467085834934
2012-09-24,74.55002492141641
2012-09-28,56.040322664654354
2012-10-02,73.9105265066764
2012-10-06,30.39983178553833
2012-10-10,40.01470230694514
2012-10-14,33.0939073167611
2012-10-18,49.59050517616597
2012-10-22,35.77126596990554
2012-10-26,117.14660761387972
2012-10-30,80.09137721525495
2012-11-03,41.74646629122013
2012-11-07,46.76547843723261
2012-11-11,32.721119273051926
2012-11-15,39.45476535124407
2012-11-19,49.27061659030697
2012-11-23,33.4625004422732
2012-11-27,65.36867907430263
2012-12-01,51.01473453993701
2012-12-05,61.61309116853422
2012-12-09,45.728529551267165
2012-12-13,72.05792109717035
2012-12-17,39.03791250691517
2012-12-21,40.96080878192075
2012-12-25,33.46217924621497
2012-12-29,34.51932213502881
2013-01-02,53.77220067223535
2013-01-06,31.00212222479091
2013-01-10,36.613326794155256
2013-01-14,35.57807218388235
2013-01-18,45.056666855267494
2013-01-22,77.31374697350327
2013-01-26,50.31958054287384
2013-01-30,114.69609690351295
2013-02-03,46.48295657046078
2013-02-07,56.75911124098601
2013-02-11,50.67464673809185
2013-02-15,77.89386290313355
2013-02-19,74.4308503341598
2013-02-23,82.98242677503885
2013-02-27,70.84061911706598
2013-03-03,47.0522902902769
2013-03-07,120.29743656808387
2013-03-11,86.56786222591577
2013-03-15,86.22852099497821
2013-03-19,184.76817431058723
2013-03-23,142.4403888078209
2013-03-27,185.01252018376374
2013-03-31,131.65885349786444
2013-04-04,230.73903316901527
2013-04-08,352.51745298601924
2013-04-12,400.24743556396356
2013-04-16,222.29657550102903
2013-04-20,172.13876754522866
2013-04-24,226.67305811304337
2013-04-28,107.30858798869605
2013-05-02,272.4863039077261
2013-05-06,238.27796960927628
2013-05-10,132.61203829268686
2013-05-14,186.1221014274677
2013-05-18,190.30413192455646
2013-05-22,152.6153121248413
2013-05-26,93.25347017124359
2013-05-30,216.8799574017259
2013-06-03,268.1637723931167
2013-06-07,240.19036332629844
2013-06-11,165.53404130490284
2013-06-15,165.8877086678728
2013-06-19,146.55599465160088
2013-06-23,173.94541251256555
2013-06-27,166.1496117982857
2013-07-01,336.28613447544393
2013-07-05,338.6237070146098
2013-07-09,337.3405781991087
2013-07-13,342.4958507530463
2013-07-17,445.61193191278545
2013-07-21,191.91326556655974
2013-07-25,219.1820969468977
2013-07-29,224.44149288629123
2013-08-02,181.96288684347132
2013-08-06,157.0177561283486
2013-08-10,134.89646245979026
2013-08-14,261.20900732857444
2013-08-18,94.27715131607692
2013-08-22,157.02263923235205
2013-08-26,184.93646564633417
2013-08-30,182.14323337091272
2013-09-03,287.56150790413454
2013-09-07,125.48183070076375
2013-09-11,175.63757427090607
2013-09-15,108.31520792643019
2013-09-19,244.66322826033428
2013-09-23,180.60703521008676
2013-09-27,220.97604690089534
2013-10-01,309.1452887642849
2013-10-05,131.63423967803496
