time,NVTAdj90
2010-08-28,288.4078468153269
2010-09-01,263.32678449549616
2010-09-05,219.54251442589577
2010-09-09,223.52164669698632
2010-09-13,208.1188255784616
2010-09-17,183.05700549963422
2010-09-21,193.64615959180915
2010-09-25,191.80635960669787
2010-09-29,189.85300511703042
2010-10-03,182.5098972529068
2010-10-07,170.44477671893307
2010-10-11,167.61607154882063
2010-10-15,162.6541830640729
2010-10-19,159.34589901523614
2010-10-23,161.45011495877446
2010-10-27,154.50339598822734
2010-10-31,151.0486923451173
2010-11-04,144.33875971955746
2010-11-08,137.0383422081796
2010-11-12,148.4643520574518
2010-11-16,147.21814923447465
2010-11-20,145.38048092396485
2010-11-24,147.2799396071279
2010-11-28,156.71486614925206
2010-12-02,155.86629865198847
2010-12-06,152.34582986619856
2010-12-10,159.3948984116798
2010-12-14,166.35855660516185
2010-12-18,166.92765839887568
2010-12-22,168.09876388430934
2010-12-26,182.62995183391334
2010-12-30,182.99676821223593
2011-01-03,183.23795480514593
2011-01-07,185.78595209813426
2011-01-11,182.82349670188856
2011-01-15,186.49845686736873
2011-01-19,184.61663237905273
2011-01-23,182.56909350113006
2011-01-27,178.07216141070384
2011-01-31,176.81821763008816
2011-02-04,177.03544630275897
2011-02-08,179.13029525896772
2011-02-12,180.37448654331055
2011-02-16,182.40390264130997
2011-02-20,180.7212619415749
2011-02-24,180.21138337994225
2011-02-28,178.7391207555405
2011-03-04,177.56218644322874
2011-03-08,175.7576392260202
2011-03-12,173.78635720327446
2011-03-16,171.8272157997944
2011-03-20,170.51825956355626
2011-03-24,168.5497345455171
2011-03-28,166.90121159679418
2011-04-01,165.86671791600145
2011-04-05,164.584610798159
2011-04-09,163.27853593649155
2011-04-13,161.90978043900557
2011-04-17,159.31203910640662
2011-04-21,157.76911560608195
2011-04-25,156.93175223433633
2011-04-29,154.89778810614968
2011-05-03,153.30473978727733
2011-05-07,151.9239856278239
2011-05-11,150.48289860376315
2011-05-15,148.55040190547638
2011-05-19,147.78303586352217
2011-05-23,146.66749939802688
2011-05-27,144.79144643897365
2011-05-31,143.922088563109
2011-06-04,143.17700158115548
2011-06-08,141.77821097353134
2011-06-12,139.92878308624083
2011-06-16,138.50445171996213
2011-06-20,137.6110153625447
2011-06-24,136.8385524410044
2011-06-28,135.80681791444158
2011-07-02,134.95266249177814
2011-07-06,134.32886980917075
2011-07-10,133.97907026884008
2011-07-14,133.90143144737036
2011-07-18,132.67591672056287
2011-07-22,132.31449214494344
2011-07-26,131.95389743274464
2011-07-30,132.04319970310192
2011-08-03,131.1068620997211
2011-08-07,130.2319270876585
2011-08-11,129.92331959153728
2011-08-29,130.02825079232167
2011-09-02,130.04556739048465
2011-09-06,127.65653314155362
2011-09-10,125.93239078759441
2011-09-14,125.44606476696497
2011-09-18,124.27748365899659
2011-09-22,123.61766610925756
2011-09-26,124.15234116993518
2011-09-30,122.68816280726125
2011-10-04,121.72760002191467
2011-10-08,120.80689879574844
2011-10-12,120.7042982516074
2011-10-16,121.29536516381359
2011-10-20,120.55720772494877
2011-10-24,119.92827315234464
2011-10-28,119.28705269327652
2011-11-01,117.8978918888677
2011-11-05,118.13845133142277
2011-11-09,117.34724083316699
2011-11-13,118.20606814132408
2011-11-17,118.16780260754192
2011-11-21,114.12295736867203
2011-11-25,113.2210571798121
2011-11-29,112.06447435798925
2011-12-03,109.98470982775301
2011-12-07,105.84701653666966
2011-12-11,104.64223079931267
2011-12-15,104.49445345035913
2011-12-19,101.2193390732827
2011-12-23,98.05686304400172
2011-12-27,96.92507662738208
2011-12-31,95.77098101995747
2012-01-04,89.56313559645415
2012-01-08,88.20466731444427
2012-01-12,86.73810323854515
2012-01-16,84.26418981050905
2012-01-20,84.07451853068378
2012-01-24,81.09982387163983
2012-01-28,80.60979963922318
2012-02-01,80.01648492088098
2012-02-05,80.66938121745974
2012-02-09,80.27320494828172
2012-02-13,78.6059470423579
2012-02-17,76.11828084791934
2012-02-21,74.22243555977741
2012-02-25,71.73896810029542
2012-02-29,71.32297256283277
2012-03-04,70.59634913495454
2012-03-08,70.10106917597862
2012-03-12,69.50721400117844
2012-03-16,69.14154638037894
2012-03-20,68.81268981065826
2012-03-24,68.84353084888394
2012-03-28,68.33636801203713
2012-04-01,68.56161668130476
2012-04-05,68.39015034093352
2012-04-09,67.4389771542101
2012-04-13,66.85627866724248
2012-04-17,66.40074098700057
2012-04-21,65.95578580783811
2012-04-25,66.33915224609201
2012-04-29,66.1631097419941
2012-05-03,65.56874950463134
2012-05-07,65.66128372196411
2012-05-11,65.41294219156248
2012-05-15,65.08045389215873
2012-05-19,64.94054127656764
2012-05-23,65.10059583583609
2012-05-27,64.48723526854839
2012-05-31,63.88089361207689
2012-06-04,63.98370056244773
2012-06-08,63.44874815115917
2012-06-12,62.815617901551114
2012-06-16,62.730600171850895
2012-06-20,62.98397103513119
2012-06-24,62.946275536275685
2012-06-28,62.59519779972931
2012-07-02,62.104374729732726
2012-07-06,61.9587210196063
2012-07-10,61.548666383583026
2012-07-14,60.959486642407796
2012-07-18,60.097332234474756
2012-07-22,59.14454493966358
2012-07-26,59.152562703489195
2012-07-30,58.385723339427955
2012-08-03,57.62731512483493
2012-08-07,56.503763230998295
2012-08-11,56.53493955863711
2012-08-15,56.372405914459726
2012-08-19,55.291166415761595
2012-08-23,54.03018424204789
2012-08-27,52.841732724652
2012-08-31,52.23398457861912
2012-09-04,51.63888435616081
2012-09-08,51.07293324678528
2012-09-12,49.95687126625575
2012-09-16,49.3125020048052
2012-09-20,48.424823963623
2012-09-24,47.32887922993594
2012-09-28,46.61659140167723
2012-10-02,45.890835081773446
2012-10-06,45.305751364817844
