time,NUPL
2010-07-18,0.9931524827424728
2010-07-19,0.98401665584911
2010-07-20,0.9778303101142445
2010-07-21,0.9739295203342553
2010-07-22,0.9602106419964371
2010-07-23,0.9568798010137353
2010-07-24,0.9414242585511203
2010-07-25,0.9300444922905294
2010-07-26,0.9204525307883349
2010-07-27,0.919423787320002
2010-07-28,0.9157379330436274
2010-07-29,0.9261513658395353
2010-07-30,0.9168945291940324
2010-07-31,0.9170321807720169
2010-08-01,0.9042963563927967
2010-08-02,0.899761475414051
2010-08-03,0.8958833596437472
2010-08-04,0.8867348098668845
2010-08-05,0.8912459549422334
2010-08-06,0.889206644969738
2010-08-07,0.881358548689783
2010-08-08,0.8820340663509562
2010-08-09,0.892251299970018
2010-08-10,0.8874364847279569
2010-08-11,0.8800661819754094
2010-08-12,0.8823235371510343
2010-08-13,0.8678582043899418
2010-08-14,0.869313448499794
2010-08-15,0.862382101094593
2010-08-16,0.8599120956244967
2010-08-17,0.866841701829257
2010-08-18,0.8601000295421171
2010-08-19,0.8557349200249289
2010-08-20,0.8506153687013249
2010-08-21,0.848891382409421
2010-08-22,0.8441320523103681
2010-08-23,0.8393562999227004
2010-08-24,0.8369335707595763
2010-08-25,0.8339935068485879
2010-08-26,0.8297782553163472
2010-08-27,0.8297029519319262
2010-08-28,0.8268391114079997
2010-08-29,0.8234067026918407
2010-08-30,0.8242685930559059
2010-08-31,0.8073810870174449
2010-09-01,0.8119916660041724
2010-09-02,0.8143067518982334
2010-09-03,0.8047559867949992
2010-09-04,0.8070377012768754
2010-09-05,0.8027213979480544
2010-09-06,0.8012747319756539
2010-09-07,0.7979048035144306
2010-09-08,0.7954324672711125
2010-09-09,0.7914693349672239
2010-09-10,0.7893271037751176
2010-09-11,0.7963593673450851
2010-09-12,0.7870981246370117
2010-09-13,0.7875240699373448
2010-09-14,0.7847207067307473
2010-09-15,0.7754972695629946
2010-09-16,0.7766031591744669
2010-09-17,0.7614929260614524
2010-09-18,0.7630601337221314
2010-09-19,0.767189617996088
2010-09-20,0.7630575428097147
2010-09-21,0.7633708345206695
2010-09-22,0.7585488286245116
2010-09-23,0.7569850816859774
2010-09-24,0.7548747248428954
2010-09-25,0.7520323496811239
2010-09-26,0.7500441415797074
2010-09-27,0.7447359211930765
2010-09-28,0.7299623722548522
2010-09-29,0.7277947017187679
2010-09-30,0.7212135410631084
2010-10-01,0.7200594293675732
2010-10-02,0.6938218215931107
2010-10-03,0.6911749314585923
2010-10-04,0.6908022761380187
2010-10-05,0.6845461751624365
2010-10-06,0.6898468282508451
2010-10-07,0.7061520068733631
2010-10-08,0.7589396234226632
2010-10-09,0.7731225360667842
2010-10-10,0.7757243870174078
2010-10-11,0.766419281561349
2010-10-12,0.7639298670573407
2010-10-13,0.7802413440982638
2010-10-14,0.7705603855628096
2010-10-15,0.7697729691188978
2010-10-16,0.7542909570708267
2010-10-17,0.75386307776652
2010-10-18,0.7518578877616848
2010-10-19,0.7373685127580178
2010-10-20,0.7381273075239638
2010-10-21,0.7505735897030432
2010-10-22,0.7382857883493408
2010-10-23,0.7405866489219634
2010-10-24,0.7586780687707608
2010-10-25,0.7954522430835889
2010-10-26,0.8056455074576171
2010-10-27,0.8347266980022864
2010-10-28,0.8099411172873703
2010-10-29,0.822495797064358
2010-10-30,0.8252129107315476
2010-10-31,0.816095705163281
2010-11-01,0.8152958681750357
2010-11-02,0.8107177217352027
2010-11-03,0.807087665902413
2010-11-04,0.8250335795554118
2010-11-05,0.8400381088090793
2010-11-06,0.8779602601531385
2010-11-07,0.8514805836750089
2010-11-08,0.7823819594156891
2010-11-09,0.7538507617598937
2010-11-10,0.7651621523986835
2010-11-11,0.7563241551437416
2010-11-12,0.7953421820797464
2010-11-13,0.7972476387231909
2010-11-14,0.795393765731112
