time,FeeTotUSD
2010-07-18,0.0678136
2010-07-19,0.00404
2010-07-20,0.0
2010-07-21,0.0
2010-07-22,0.0
2010-07-23,0.000605928696668615
2010-07-24,0.0
2010-07-25,0.14707319940385732
2010-07-26,0.084
2010-07-27,0.03927675096434833
2010-07-28,0.061856653711279984
2010-07-29,0.062211
2010-07-30,0.019397214494447697
2010-07-31,0.020939197673874914
2010-08-01,0.017719
2010-08-02,0.012599999999999998
2010-08-03,0.0
2010-08-04,0.0
2010-08-05,0.0
2010-08-06,0.14246073769725312
2010-08-07,0.0
2010-08-08,0.0
2010-08-09,0.30412800000000006
2010-08-10,0.0
2010-08-11,0.0
2010-08-12,0.0
2010-08-13,0.0
2010-08-14,0.0
2010-08-15,0.0
2010-08-16,0.04388500000000001
2010-08-17,0.0
2010-08-18,0.10608000000000001
2010-08-19,0.0
2010-08-20,0.0
2010-08-21,0.0
2010-08-22,0.0
2010-08-23,0.0
2010-08-24,0.052000000000000005
2010-08-25,0.0
2010-08-26,0.0
2010-08-27,0.0
2010-08-28,7.106e-08
2010-08-29,0.01536
2010-08-30,0.0227395
2010-08-31,0.013200018
2010-09-01,0.003721502060137931
2010-09-02,0.0
2010-09-03,0.0
2010-09-04,0.0
2010-09-05,0.0006165000000000001
2010-09-06,6.16e-09
2010-09-07,0.0
2010-09-08,1.2199999999999998e-08
2010-09-09,0.00672265289700263
2010-09-10,6.10115242548218e-09
2010-09-11,0.0
2010-09-12,0.009224999999999999
2010-09-13,6.218e-09
2010-09-14,0.0005953222048000001
2010-09-15,0.0
2010-09-16,0.0
2010-09-17,0.0
2010-09-18,0.01098
2010-09-19,0.0
2010-09-20,0.0
2010-09-21,6.264999999999999e-09
2010-09-22,0.0
2010-09-23,0.0
2010-09-24,0.0
2010-09-25,0.0
2010-09-26,0.0
2010-09-27,0.001244008836937464
2010-09-28,0.08914161271770893
2010-09-29,0.0
2010-09-30,0.0
2010-10-01,0.03470505575686733
2010-10-02,0.00047696318200000004
2010-10-03,0.00047424503497223836
2010-10-04,6.068153214494445e-08
2010-10-05,0.0
2010-10-06,6.84629e-08
