time,UTXOCnt
2011-09-18,1019104.0
2011-09-22,1030516.0
2011-09-27,1070405.0
2011-10-01,1086740.0
2011-10-06,1097665.0
2011-10-11,1110139.0
2011-10-16,1119776.0
2011-10-22,1131475.0
2011-10-27,1145841.0
2011-11-01,1155415.0
2011-11-06,1164740.0
2011-11-10,1174819.0
2011-11-15,1185213.0
2011-11-19,1193147.0
2011-11-24,1202870.0
2011-11-29,1211796.0
2011-12-03,1217109.0
2011-12-08,1227582.0
2011-12-12,1232918.0
2011-12-17,1242438.0
2011-12-21,1245936.0
2011-12-26,1257062.0
2011-12-30,1265539.0
2012-01-03,1265280.0
2012-01-07,1260511.0
2012-01-12,1254495.0
2012-01-16,1262423.0
2012-01-21,1270880.0
2012-01-25,1281612.0
2012-01-29,1289461.0
2012-02-02,1299617.0
2012-02-07,1309646.0
2012-02-11,1320812.0
2012-02-16,1335071.0
2012-02-20,1347679.0
2012-02-24,1359445.0
2012-02-28,1371391.0
2012-03-04,1382564.0
2012-03-08,1397615.0
2012-03-12,1409490.0
2012-03-17,1416290.0
2012-03-21,1429212.0
2012-03-25,1445306.0
2012-03-30,1457259.0
2012-04-03,1468804.0
2012-04-08,1476609.0
2012-04-13,1490417.0
2012-04-18,1501952.0
2012-04-22,1505626.0
2012-04-27,1520599.0
2012-05-01,1533913.0
2012-05-05,1547417.0
2012-05-09,1556791.0
2012-05-13,1566868.0
2012-05-18,1578251.0
2012-05-23,1596209.0
2012-05-28,1611746.0
2012-06-01,1625284.0
2012-06-06,1640191.0
2012-06-10,1651070.0
2012-06-14,1673580.0
2012-06-18,1694259.0
2012-06-23,1713992.0
2012-06-27,1736426.0
2012-07-02,1761961.0
2012-07-06,1786930.0
2012-07-10,1806404.0
2012-07-15,1821091.0
2012-07-19,1829564.0
2012-07-23,1856291.0
2012-07-27,1884489.0
2012-08-01,1908766.0
2012-08-05,1929599.0
2012-08-09,1962895.0
2012-08-14,2019521.0
2012-08-18,2045199.0
2012-08-22,2058350.0
2012-08-26,2096845.0
2012-08-30,2130752.0
2012-09-04,2168031.0
2012-09-08,2191016.0
2012-09-12,2233951.0
2012-09-17,2272693.0
2012-09-21,2312560.0
2012-09-25,2348508.0
2012-09-30,2393942.0
2012-10-05,2420343.0
2012-10-10,2471783.0
2012-10-14,2536291.0
2012-10-19,2578871.0
2012-10-23,2626031.0
2012-10-28,2662454.0
2012-11-01,2693228.0
2012-11-06,2733694.0
2012-11-11,2774456.0
2012-11-15,2818096.0
2012-11-20,2895804.0
2012-11-25,2934131.0
2012-11-29,2962390.0
2012-12-03,2996773.0
2012-12-09,3023617.0
2012-12-14,3066615.0
2012-12-19,3130055.0
2012-12-24,3171976.0
2012-12-28,3199304.0
2013-01-02,3250364.0
2013-01-06,3309941.0
2013-01-10,3342271.0
2013-01-15,3396077.0
