time,MVRV_Z
2010-07-19,23.309170703563062
2010-07-20,13.683175290610214
2010-07-21,17.663379489378812
2010-07-22,5.518184958926632
2010-07-23,5.343438158586425
2010-07-24,4.280744452062313
2010-07-25,3.6203482649077077
2010-07-26,4.0725670943484795
2010-07-27,4.449097643237681
2010-07-28,4.647987912036592
2010-07-29,5.799787267996115
2010-07-30,5.561482603559032
2010-07-31,6.043580118618804
2010-08-01,5.593238688782741
2010-08-02,5.646487485768598
2010-08-03,5.802462076221046
2010-08-04,5.573951466966518
2010-08-05,6.181342183318046
2010-08-06,6.4180156659983965
2010-08-07,6.236544738758468
2010-08-08,6.6170469174514155
2010-08-09,7.7360420651764175
2010-08-10,7.627686560576767
2010-08-11,7.429324527639543
2010-08-12,7.80654848412978
2010-08-13,7.223516049789997
2010-08-14,7.627839527330463
2010-08-15,7.487718987335269
2010-08-16,7.628528935934931
2010-08-17,8.211914097857363
2010-08-18,7.978702030962824
2010-08-19,7.878478663813983
2010-08-20,7.80451458370701
2010-08-21,7.990438074287614
2010-08-22,7.9925172081342994
2010-08-23,7.938388643544143
2010-08-24,8.036285313715972
2010-08-25,8.092610926931853
2010-08-26,8.074887390555032
2010-08-27,8.286439451308391
2010-08-28,8.305515310303218
2010-08-29,8.296314320414936
2010-08-30,8.516872760857149
2010-08-31,7.807438330506159
2010-09-01,8.223904057034419
2010-09-02,8.527777076190032
2010-09-03,8.193375825106186
2010-09-04,8.50051056712725
2010-09-05,8.48620480155541
2010-09-06,8.565187719793686
2010-09-07,8.579983872176344
2010-09-08,8.62049314663093
2010-09-09,8.689443014449665
2010-09-10,8.75061802145116
2010-09-11,9.276324046346344
2010-09-12,8.957599330841346
2010-09-13,9.148434509260847
2010-09-14,9.178251855127348
2010-09-15,8.931409798463612
2010-09-16,9.254323817175019
2010-09-17,8.891148121499095
2010-09-18,9.150965270131525
2010-09-19,9.521891011486693
2010-09-20,9.452265349915516
2010-09-21,9.59586192569812
2010-09-22,9.486174278590623
2010-09-23,9.575314133861433
2010-09-24,9.618196257267451
2010-09-25,9.614819680143308
2010-09-26,9.644272062579915
2010-09-27,9.660229489654213
2010-09-28,9.477057018902153
2010-09-29,9.495753296857302
2010-09-30,9.45036847235639
2010-10-01,9.48597466942999
2010-10-02,9.097791295915716
2010-10-03,9.06203807673823
2010-10-04,9.137651068926889
2010-10-05,9.110472998960933
2010-10-06,9.403512610923034
2010-10-07,10.106985269521607
2010-10-08,11.683250019044019
2010-10-09,10.830697436568062
2010-10-10,9.58514750124281
