time,value
2010-07-19,0.003661234134384957
2010-07-20,0.0060869160463842146
2010-07-21,0.003355641782134911
2010-07-22,0.09203728427265719
2010-07-23,0.0012721719816725955
2010-07-24,0.011076056733543194
2010-07-25,0.005799894837875745
2010-07-26,0.010521498088269294
2010-07-27,0.002093853241749565
2010-07-28,2.4198284365150403e-05
2010-07-29,0.029253361926044483
2010-07-30,0.00607828736019529
2010-07-31,0.0019100040766605237
2010-08-01,0.010058887349673692
2010-08-02,0.0003300509330096676
2010-08-03,4.100327216402204e-08
2010-08-04,0.0026233838034378657
2010-08-05,0.004562433509218838
2010-08-06,0.00011979407804632026
2010-08-07,0.0019549313096532185
2010-08-08,0.0010003852655708966
2010-08-09,0.021013427242894154
2010-08-10,0.000230725641263579
2010-08-11,0.0011772439003361883
2010-08-12,0.0019186697517535802
2010-08-13,0.006696151886407846
2010-08-14,0.0014420372290792503
2010-08-15,0.0008088006969538481
2010-08-16,3.4224548519631e-05
2010-08-17,0.004414951235359292
2010-08-18,0.0008402772939781673
2010-08-19,0.0003725962445997089
2010-08-20,0.00032959713631628963
2010-08-21,0.0001862382573886417
2010-08-22,5.067759117600988e-05
2010-08-23,0.00024262865849134193
2010-08-24,1.919817665672488e-06
2010-08-25,9.496668647781861e-06
2010-08-26,0.00012655243003709878
2010-08-27,0.0002053838372978998
2010-08-28,3.810418955587129e-05
2010-08-29,8.707367158505087e-05
2010-08-30,0.0002262780557650424
2010-08-31,0.006333145535740395
2010-09-01,0.0011015885532641035
2010-09-02,0.0004808859362645163
2010-09-03,0.0016852701531615637
2010-09-04,0.0004662946444802803
2010-09-05,7.280264260416924e-05
2010-09-06,6.583035418982336e-07
2010-09-07,3.45238649635473e-05
2010-09-08,1.5306131465581218e-05
2010-09-09,3.5456622500483515e-06
2010-09-10,2.8699359486025663e-06
2010-09-11,0.0017538266782671055
2010-09-12,0.0011495020759813256
2010-09-13,0.00012091707021324557
2010-09-14,9.365576354966404e-06
2010-09-15,0.000675167048942845
2010-09-16,0.0006017736283793484
2010-09-17,0.0009713725827954283
2010-09-18,0.00027292808285169656
2010-09-19,0.0007555672447763543
2010-09-20,9.192028979361971e-05
2010-09-21,7.725954100479854e-05
2010-09-22,0.0001521875607179234
2010-09-23,1.918514303283527e-05
2010-09-24,5.590042010840187e-07
2010-09-25,8.398902885535315e-06
2010-09-26,1.0402471537093058e-07
2010-09-27,1.04181655680492e-05
2010-09-28,2.283843608776298e-05
2010-09-29,9.716399729971549e-09
2010-09-30,2.6094473942526264e-08
2010-10-01,1.4011242587157085e-06
2010-10-02,8.637909559182408e-05
2010-10-03,2.9955020739508855e-05
2010-10-04,1.4085177570045856e-05
2010-10-05,2.95872870437196e-06
2010-10-06,0.0005154925635222591
2010-10-07,0.00417035979176378
2010-10-08,0.05359402214469042
2010-10-09,0.011018366914553455
2010-10-10,0.0012286577837323455
2010-10-11,0.0004990836208134
2010-10-12,1.1092007182821e-06
2010-10-13,0.009971165011926613
2010-10-14,0.0007676564210579156
2010-10-15,0.0008402772939781673
2010-10-16,0.0015085326520351584
2010-10-17,9.706774520097594e-05
2010-10-18,1.5318607895992792e-05
2010-10-19,0.0023594345512655693
2010-10-20,0.00021925164958861348
2010-10-21,0.006038686245183042
2010-10-22,0.0018460802395373257
2010-10-23,0.00039458138382329646
2010-10-24,0.0090806052554829
2010-10-25,0.03621690155668629
2010-10-26,0.006716354638717092
2010-10-27,0.04733457568712187
2010-10-28,0.006557028589629747
2010-10-29,0.008677781360213377
2010-10-30,0.001542452553533826
2010-10-31,0.0006865441839269691
2010-11-01,0.00010951311167032363
2010-11-02,1.394503772035985e-05
2010-11-03,1.3093614780742039e-05
2010-11-04,0.02948592721429964
2010-11-05,0.014966865216877474
2010-11-06,0.19066784744370935
2010-11-07,0.02721565385645164
2010-11-08,0.11230854656523864
2010-11-09,0.012694016015942508
2010-11-10,0.0030213138119405086
2010-11-11,0.0008122270894395778
2010-11-12,0.033897548682049077
2010-11-13,0.0008218481962528325
2010-11-14,0.00011999614085153369
2010-11-15,0.0014927593212319377
2010-11-16,0.031194092738629414
2010-11-17,0.005268815287826484
2010-11-18,0.011286764313389003
2010-11-19,0.0011382218313806276
2010-11-20,0.0002835712458625651
2010-11-21,0.0005012555737123629
2010-11-22,0.0008628676350974941
2010-11-23,5.211362430808197e-05
2010-11-24,2.447607569537768e-08
2010-11-25,0.00010658811664405858
2010-11-26,0.00024311341899970612
2010-11-27,2.4352253861207978e-05
2010-11-28,0.0017644546898765371
2010-11-29,0.026547068070731254
2010-11-30,0.010405962283319204
2010-12-01,0.007859014377028382
2010-12-02,0.013021846781395566
2010-12-03,0.00024246407173108485
2010-12-04,0.041079077921471474
2010-12-05,0.00011121113339043404
2010-12-06,3.195774035699872e-05
2010-12-07,0.01814976527212167
2010-12-08,0.0005191709433410495
2010-12-09,0.031453215520492045
2010-12-10,0.0003937905473750984
2010-12-11,0.012371141905672815
2010-12-12,0.0013237739480363643
2010-12-13,0.001200676958430085
2010-12-14,0.006483434536324012
2010-12-15,0.0007558960784088554
2010-12-16,0.0016533967573073099
2010-12-17,0.0008795295615671029
2010-12-18,4.6882886868353044e-05
2010-12-19,1.3998300416241067e-05
2010-12-20,0.011276986205605815
2010-12-21,0.010129259240439663
2010-12-22,0.0012149742370351694
2010-12-23,1.42790927773057e-08
2010-12-24,6.261045001556141e-05
2010-12-25,5.82488233497159e-05
2010-12-26,0.0034252999919010046
2010-12-27,4.4523133301536157e-07
2010-12-28,0.0035325222637560038
2010-12-29,0.00428079770931308
2010-12-30,0.0
2010-12-31,0.0
2011-01-01,0.0
2011-01-02,1.0001000091652842e-08
2011-01-03,0.00027912763535526525
2011-01-04,0.00017691604201510824
2011-01-05,1.270737670683645e-08
2011-01-06,9.425647994062968e-06
2011-01-07,0.005073358079424529
2011-01-08,8.139074557607585e-05
2011-01-09,9.5880309924494e-08
2011-01-10,0.00012217407805247045
2011-01-11,0.0
2011-01-12,0.0005828749189274206
2011-01-13,1.4213122951619598e-05
2011-01-14,0.0531979611274119
2011-01-15,0.0012675160710998233
2011-01-16,4.180146371467125e-06
2011-01-17,0.010277569527756868
2011-01-18,0.01217322095262487
2011-01-19,0.0
2011-01-20,0.04838921970965912
2011-01-21,0.005460273502048005
2011-01-22,0.002191650649983101
2011-01-23,2.8718655777996743e-05
2011-01-24,0.0027246168514456722
2011-01-25,0.0005692723040956122
2011-01-26,0.0001519418976732686
2011-01-27,0.00021386573810571106
2011-01-28,0.0028951263649585777
2011-01-29,0.00015412590987767594
2011-01-30,0.006941355645086351
2011-01-31,0.009186210793417228
2011-02-01,0.08885943369955077
2011-02-02,0.0006259653871597836
2011-02-03,0.001975422361213016
2011-02-04,0.02430230232584685
2011-02-05,0.013703568147318953
2011-02-06,0.00022830106486250904
2011-02-07,9.214009309489897e-05
2011-02-08,0.0010002219310057134
2011-02-09,0.01029833054402315
2011-02-10,0.0013307678827355147
2011-02-11,0.005360470252569297
2011-02-12,0.0005336706945515582
2011-02-13,0.0007273535349668184
2011-02-14,0.0003564650691360069
2011-02-15,0.0003564650691360069
2011-02-16,0.0003095568634912909
2011-02-17,6.32172222347899e-05
2011-02-18,0.02121920870437996
2011-02-19,0.002393357726196289
2011-02-20,0.007643383042626899
2011-02-21,0.0011835704429478283
2011-02-22,0.00232595756097787
2011-02-23,0.000667712462741203
2011-02-24,0.0089105838915026
2011-02-25,0.006122590741400796
2011-02-26,0.00214407069459352
2011-02-27,0.004622240447104992
2011-02-28,0.0015738257792184828
2011-03-01,0.0046752759610265895
2011-03-02,0.00040837348926127615
2011-03-03,7.741534159012199e-07
