time,TxMeanByte
2009-01-03,204.0
2009-01-09,134.0
2009-01-10,134.22950819672138
2009-01-11,134.40860215053766
2009-01-12,142.74257425742573
2009-01-13,134.66666666666669
2009-01-14,137.13076923076926
2009-01-15,148.17164179104472
2009-01-16,137.32727272727274
2009-01-17,134.8532110091743
2009-01-18,137.6574074074075
2009-01-19,149.2991452991453
2009-01-20,142.47826086956528
2009-01-21,136.65048543689318
2009-01-22,146.1413043478261
2009-01-23,144.7906976744186
2009-01-24,140.36138613861405
2009-01-25,135.29166666666674
2009-01-26,157.30927835051546
2009-01-27,137.88775510204084
2009-01-28,134.6517857142857
2009-01-29,145.0573770491803
2009-01-30,134.87179487179492
2009-01-31,150.3741007194244
2009-02-01,136.00000000000009
2009-02-02,135.03875968992253
2009-02-03,150.20645161290327
2009-02-04,134.73949579831938
2009-02-05,134.72222222222214
2009-02-06,134.8360655737705
2009-02-07,154.5187969924812
2009-02-08,135.54887218045113
2009-02-09,171.32592592592593
2009-02-10,134.66666666666677
2009-02-11,145.93333333333334
2009-02-12,134.87394957983196
2009-02-13,134.90322580645162
2009-02-14,134.7867647058824
2009-02-15,144.9847328244275
2009-02-16,161.84552845528455
2009-02-17,134.8974358974359
2009-02-18,134.94067796610167
2009-02-19,148.84799999999993
2009-02-20,134.85245901639348
2009-02-21,134.96491228070175
2009-02-22,142.82400000000007
2009-02-23,134.99074074074073
2009-02-24,134.93396226415092
2009-02-25,134.8666666666666
2009-02-26,134.96261682242988
2009-02-27,169.3275862068965
2009-02-28,142.09
2009-03-01,134.95238095238093
2009-03-02,134.96296296296293
2009-03-03,141.72897196261684
2009-03-04,160.62264150943406
2009-03-05,142.1415929203541
2009-03-06,134.92307692307693
2009-03-07,134.9724770642201
2009-03-08,158.457627118644
2009-03-09,134.712962962963
2009-03-10,134.97196261682234
2009-03-11,134.8859649122807
2009-03-12,137.36974789915965
2009-03-13,147.0877192982456
2009-03-14,134.79090909090905
2009-03-15,134.96747967479672
2009-03-16,179.03278688524597
2009-03-17,134.96491228070175
2009-03-18,147.12931034482756
2009-03-19,134.78688524590163
2009-03-20,145.62184873949576
2009-03-21,134.87999999999994
2009-03-22,143.71074380165294
2009-03-23,134.92307692307688
2009-03-24,134.98095238095235
2009-03-25,134.78632478632477
2009-03-26,161.22881355932205
2009-03-27,134.95283018867923
2009-03-28,151.41803278688516
2009-03-29,134.9655172413793
2009-03-30,134.85000000000002
2009-03-31,167.00000000000006
2009-04-01,134.859649122807
2009-04-02,134.88695652173914
2009-04-03,134.94827586206893
2009-04-04,134.7433628318585
2009-04-05,148.2727272727272
2009-04-06,134.98165137614674
2009-04-07,134.98999999999995
2009-04-08,135.0
2009-04-09,134.73737373737376
2009-04-10,134.9444444444444
2009-04-11,141.1570247933884
2009-04-12,141.31666666666663
2009-04-13,135.78448275862067
2009-04-14,134.95161290322577
2009-04-15,134.7433628318585
2009-04-16,134.8943089430894
2009-04-17,134.85714285714286
2009-04-18,136.69999999999996
2009-04-19,141.80833333333328
2009-04-20,241.96694214876027
2009-04-21,135.63709677419357
2009-04-22,134.9669421487603
2009-04-23,134.67999999999995
2009-04-24,134.90434782608693
2009-04-25,134.864406779661
2009-04-26,148.4035087719298
2009-04-27,134.89423076923077
2009-04-28,134.6324786324787
2009-04-29,151.90697674418598
2009-04-30,134.95419847328245
2009-05-01,134.87603305785126
2009-05-02,148.02343749999994
2009-05-03,138.79816513761463
2009-05-04,160.67441860465124
2009-05-05,142.61029411764716
2009-05-06,134.97777777777762
2009-05-07,135.0
2009-05-08,134.94392523364482
2009-05-09,134.4871794871796
2009-05-10,134.7529411764706
2009-05-11,136.7190082644628
2009-05-12,134.92307692307688
2009-05-13,138.53448275862064
2009-05-14,137.12676056338023
2009-05-15,142.55474452554745
2009-05-16,134.94957983193274
2009-05-17,134.96062992125977
2009-05-18,134.92372881355934
2009-05-19,134.8837209302325
2009-05-20,134.7333333333334
2009-05-21,134.96341463414626
2009-05-22,134.96721311475412
2009-05-23,134.93749999999997
2009-05-24,134.89999999999998
2009-05-25,134.95412844036696
2009-05-26,134.904
2009-05-27,134.73109243697488
2009-05-28,134.8842105263158
2009-05-29,197.9719626168224
2009-05-30,134.71559633027525
2009-05-31,135.0
2009-06-01,136.90277777777774
2009-06-02,134.90990990990986
2009-06-03,135.0
2009-06-04,134.93939393939394
2009-06-05,134.89999999999998
2009-06-06,134.2857142857143
2009-06-07,134.93749999999997
2009-06-08,134.76829268292684
2009-06-09,134.80219780219778
2009-06-10,134.92682926829264
2009-06-11,134.9662921348314
2009-06-12,134.86046511627904
2009-06-13,134.448717948718
2009-06-14,134.69444444444457
2009-06-15,134.95238095238096
2009-06-16,134.7323943661972
2009-06-17,134.64556962025318
2009-06-18,134.8125
2009-06-19,134.67816091954023
2009-06-20,134.76923076923075
2009-06-21,134.76543209876544
2009-06-22,222.4545454545454
2009-06-23,134.5657894736842
2009-06-24,137.6804123711339
2009-06-25,166.30434782608694
2009-06-26,134.60000000000002
2009-06-27,134.83333333333331
2009-06-28,136.76595744680847
2009-06-29,136.08333333333331
2009-06-30,138.41860465116284
2009-07-01,136.58666666666664
2009-07-02,135.97619047619042
2009-07-03,134.97560975609758
2009-07-04,134.876404494382
2009-07-05,134.98734177215186
2009-07-06,134.97619047619048
2009-07-07,134.94202898550725
2009-07-08,134.98648648648643
2009-07-09,134.7209302325581
2009-07-10,134.86419753086417
2009-07-11,134.98795180722888
2009-07-12,134.79220779220776
2009-07-13,134.9102564102564
2009-07-14,134.95652173913035
2009-07-15,134.97777777777773
2009-07-16,134.8591549295774
2009-07-17,134.8085106382978
2009-07-18,134.0
2009-07-19,134.79999999999998
2009-07-20,329.00000000000006
2009-07-21,134.85365853658533
2009-07-22,134.4
2009-07-23,134.68421052631575
2009-07-24,134.9315068493151
2009-07-25,134.84375
2009-07-26,134.5238095238095
2009-07-27,134.90540540540542
2009-07-28,134.70731707317069
2009-07-29,141.49999999999997
2009-07-30,140.8125
2009-07-31,134.70588235294116
2009-08-01,134.82142857142858
2009-08-02,134.60869565217388
2009-08-03,134.83333333333331
2009-08-04,134.62962962962965
2009-08-05,134.72413793103442
2009-08-06,134.9222222222222
2009-08-07,290.888888888889
2009-08-08,134.87499999999994
2009-08-09,135.0
2009-08-10,134.98666666666662
2009-08-11,134.91428571428565
2009-08-12,134.52380952380952
2009-08-13,134.76470588235298
2009-08-14,134.82539682539684
2009-08-15,134.3846153846154
2009-08-16,134.52631578947367
2009-08-17,134.82352941176467
2009-08-18,135.0
2009-08-19,134.38888888888889
2009-08-20,134.1818181818182
2009-08-21,134.0
2009-08-22,134.0
2009-08-23,134.53333333333336
2009-08-24,134.0
2009-08-25,134.66000000000003
2009-08-26,239.84313725490193
2009-08-27,134.34482758620692
2009-08-28,134.73333333333338
2009-08-29,134.80769230769232
2009-08-30,134.98979591836732
2009-08-31,141.70114942528733
2009-09-01,134.79487179487177
2009-09-02,134.8484848484848
2009-09-03,159.29032258064515
2009-09-04,134.67187499999997
2009-09-05,134.84210526315786
2009-09-06,134.85294117647052
2009-09-07,152.48101265822777
2009-09-08,134.76811594202894
2009-09-09,134.7962962962963
2009-09-10,134.80597014925377
2009-09-11,134.820895522388
2009-09-12,134.8840579710145
2009-09-13,134.83999999999997
2009-09-14,134.85135135135133
2009-09-15,134.86363636363632
2009-09-16,135.986301369863
2009-09-17,270.01176470588234
2009-09-18,134.80769230769232
2009-09-19,134.95945945945937
2009-09-20,134.98717948717945
2009-09-21,146.62857142857146
2009-09-22,306.5769230769231
2009-09-23,134.7222222222222
2009-09-24,134.50515463917534
2009-09-25,164.6989247311829
2009-09-26,134.46
2009-09-27,154.60227272727272
2009-09-28,134.92941176470583
2009-09-29,187.3555555555555
2009-09-30,134.76470588235298
2009-10-01,134.89024390243904
2009-10-02,149.1506849315069
2009-10-03,134.41379310344828
2009-10-04,134.67924528301887
2009-10-05,134.76363636363638
2009-10-06,170.2
2009-10-07,134.71666666666667
2009-10-08,134.47142857142853
2009-10-09,134.65822784810123
2009-10-10,134.81818181818178
2009-10-11,134.75675675675674
2009-10-12,278.5762711864407
2009-10-13,134.80701754385967
2009-10-14,134.62318840579707
2009-10-15,134.36619718309865
