time,TxTfrValMeanNtv
2010-08-28,47.177317999616854
2010-09-01,43.84984375026042
2010-09-05,144.42151658767773
2010-09-09,53.16330218099688
2010-09-13,69.32721674876846
2010-09-17,328.2921698113208
2010-09-21,16.617328629032258
2010-09-25,48.07101419878296
2010-09-29,16.80495205479452
2010-10-03,93.92801546391752
2010-10-07,329.28465034965035
2010-10-11,84.05356164383562
2010-10-15,158.65859437751004
2010-10-19,31.822785588752197
2010-10-23,38.20147887323943
2010-10-27,145.51400673400676
2010-10-31,246.1817277486911
2010-11-04,561.3204464285715
2010-11-08,1175.7967514124293
2010-11-12,82.66650887573964
2010-11-16,5.854849362688297
2010-11-20,62.63786628733997
2010-11-24,5.975393175074184
2010-11-28,24.38077689243028
2010-12-02,90.55618604651164
2010-12-06,175.67648801368725
2010-12-10,32.24642673521851
2010-12-14,18.95677660136072
2010-12-18,41.91742718446602
2010-12-22,24.838128196582694
2010-12-26,10.6638625
2010-12-30,37.159510086455334
2011-01-03,17.847225274725275
2011-01-07,14.249853693110795
2011-01-11,33.20354509375202
2011-01-15,10.128013073380481
2011-01-19,26.948682478796158
2011-01-23,29.90229303156641
2011-01-27,588.8117216411906
2011-01-31,22.975877862595418
2011-02-04,23.39829268292683
2011-02-08,15.872282189668464
2011-02-12,7.66223064770932
2011-02-16,6.299626596790042
2011-02-20,13.695543395379863
2011-02-24,10.471273892177905
2011-02-28,15.91667869058907
2011-03-04,13.725283972748045
2011-03-08,14.065324344307404
2011-03-12,16.673551186639816
2011-03-16,15.849005868801392
2011-03-20,7.578811084180739
2011-03-24,19.97016341251077
2011-03-28,10.785663146517546
2011-04-01,15.81022097549335
2011-04-05,13.911569299304118
2011-04-09,17.25337132687927
2011-04-13,15.151275037806123
2011-04-17,157.85408143507996
2011-04-21,23.729076679949948
2011-04-25,9.031311668580283
2011-04-29,28.8093992360751
2011-05-03,16.75371862463122
2011-05-07,12.331419274079511
2011-05-11,16.209888887273557
2011-05-15,23.916292247284286
2011-05-19,4.658218294096601
2011-05-23,6.772950657947751
2011-05-27,32.584450863371515
2011-05-31,5.304156077321779
2011-06-04,4.266179651308036
2011-06-08,8.028454836485922
2011-06-12,21.89370731715328
2011-06-16,6.002769225952984
2011-06-20,3.152976144464717
2011-06-24,3.400267218486579
2011-06-28,4.444131220588898
2011-07-02,2.672209457005612
2011-07-06,2.937067224428977
2011-07-10,2.0789961024070007
2011-07-14,1.845483656431615
2011-07-18,8.479884716144696
2011-07-22,2.761376528972272
2011-07-26,2.8834249233886413
2011-07-30,2.604255018357516
2011-08-03,5.487904801852133
2011-08-07,5.1812961480233755
2011-08-11,3.4925125698647945
2011-08-29,2.541036627377315
2011-09-02,3.530428610845124
2011-09-06,4.682818046567296
2011-09-10,4.216826181463045
2011-09-14,5.148644785491226
2011-09-18,4.126276696408898
2011-09-22,4.431769931612327
