time,value
2010-07-18,1.0000918604651163
2010-07-19,1.0000057471264368
2010-07-20,1.0
2010-07-21,1.0
2010-07-22,1.0
2010-07-23,1.000001030927835
2010-07-24,1.0
2010-07-25,1.000251948051948
2010-07-26,1.0001234567901234
2010-07-27,1.0000807228915665
2010-07-28,1.000132075471698
2010-07-29,1.0000988888888889
2010-07-30,1.000032967032967
2010-07-31,1.0000305418719213
2010-08-01,1.000024267782427
2010-08-02,1.000017355371901
2010-08-03,1.0
2010-08-04,1.0
2010-08-05,1.0
2010-08-06,1.0003142857142857
2010-08-07,1.0
2010-08-08,1.0
2010-08-09,1.0004547368421053
2010-08-10,1.0
2010-08-11,1.0
2010-08-12,1.0
2010-08-13,1.0
2010-08-14,1.0
2010-08-15,1.0
2010-08-16,1.000091156462585
2010-08-17,1.0
2010-08-18,1.0002345864661655
2010-08-19,1.0
2010-08-20,1.0
2010-08-21,1.0
2010-08-22,1.0
2010-08-23,1.0
2010-08-24,1.0000744186046513
2010-08-25,1.0
2010-08-26,1.0
2010-08-27,1.0
2010-08-28,1.0000000001294116
2010-08-29,1.0000296296296296
2010-08-30,1.0000469798657718
2010-08-31,1.000023913076087
2010-09-01,1.0000076433375797
2010-09-02,1.0
2010-09-03,1.0
2010-09-04,1.0
2010-09-05,1.000001212121212
2010-09-06,1.0000000000126583
2010-09-07,1.0
2010-09-08,1.0000000000242424
2010-09-09,1.000016296311111
2010-09-10,1.0000000000112994
2010-09-11,1.0
2010-09-12,1.0000169491525424
2010-09-13,1.000000000011696
2010-09-14,1.000000946159606
2010-09-15,1.0
2010-09-16,1.0
2010-09-17,1.0
2010-09-18,1.0000151898734178
2010-09-19,1.0
2010-09-20,1.0
2010-09-21,1.000000000011628
2010-09-22,1.0
2010-09-23,1.0
2010-09-24,1.0
2010-09-25,1.0
2010-09-26,1.0
2010-09-27,1.0000017467248907
2010-09-28,1.000135849056604
2010-09-29,1.0
2010-09-30,1.0
2010-10-01,1.0000727272727272
2010-10-02,1.000001553626
2010-10-03,1.0000012731557377
2010-10-04,1.0000000001294118
2010-10-05,1.0
2010-10-06,1.0000000001274854
2010-10-07,1.0
2010-10-08,1.0
2010-10-09,1.0
2010-10-10,1.0
2010-10-11,1.0000000001371068
2010-10-12,1.0
2010-10-13,1.0000397727272727
2010-10-14,1.0
2010-10-15,1.0
2010-10-16,1.0
2010-10-17,1.0
2010-10-18,1.000001606425703
2010-10-19,1.0
2010-10-20,1.0
2010-10-21,1.0000008350698923
2010-10-22,1.0
2010-10-23,1.0000057142857142
2010-10-24,1.0
2010-10-25,1.0
2010-10-26,1.0
2010-10-27,1.0
2010-10-28,1.0
2010-10-29,1.0
2010-10-30,1.0
2010-10-31,1.0
2010-11-01,1.0
2010-11-02,1.0
2010-11-03,1.0
2010-11-04,1.0
2010-11-05,1.0
2010-11-06,1.0
2010-11-07,1.0
2010-11-08,1.0000603636363634
2010-11-09,1.0
2010-11-10,1.0
2010-11-11,1.0
2010-11-12,1.0
2010-11-13,1.0
2010-11-14,1.0
2010-11-15,1.000048
2010-11-16,1.0
2010-11-17,1.0
2010-11-18,1.0
2010-11-19,1.0000133333333334
2010-11-20,1.0001793103448275
2010-11-21,1.00014
2010-11-22,1.0000711656441719
2010-11-23,1.0000757142857144
2010-11-24,1.0000135593220338
2010-11-25,1.0
2010-11-26,1.0000381443298971
2010-11-27,1.0000022222222222
2010-11-28,1.0
2010-11-29,1.000002870813397
2010-11-30,1.00000099009901
2010-12-01,1.000004255319149
2010-12-02,1.0000063829787234
2010-12-03,1.0000010582010581
2010-12-04,1.0000009526
2010-12-05,1.0000033472803345
2010-12-06,1.0000037499692946
2010-12-07,1.000006037353138
2010-12-08,1.0000033613445378
2010-12-09,1.0000033428349777
2010-12-10,1.000009523809524
2010-12-11,1.000013399769143
2010-12-12,1.0000173770900582
2010-12-13,1.0000441810609928
2010-12-14,1.000005722033918
2010-12-15,1.000006880665306
2010-12-16,1.0000119733479766
2010-12-17,1.0000282449325302
2010-12-18,1.0000082652968945
2010-12-19,1.0000125701293479
2010-12-20,1.0000084268138365
2010-12-21,1.000015306122449
2010-12-22,1.0000175070726114
2010-12-23,1.000008275862069
2010-12-24,1.000010580172973
2010-12-25,1.0000080274428573
2010-12-26,1.0000131924399998
2010-12-27,1.0000104391771085
2010-12-28,1.0000110523869823
2010-12-29,1.0000178820957577
2010-12-30,1.0000095389230768
2010-12-31,1.0000028827913578
2011-01-01,1.0000098511138122
2011-01-02,1.0000100202651427
2011-01-03,1.0000933659
2011-01-04,1.0000053443007093
