time,value
2011-04-24,140.0
2011-04-25,0.0
2011-04-26,0.0
2011-04-27,0.0
2011-04-28,0.0
2011-04-29,0.0
2011-04-30,0.0
2011-05-01,0.0
2011-05-02,0.0
2011-05-03,0.0
2011-05-04,0.0
2011-05-05,0.0
2011-05-06,0.0
2011-05-07,0.0
2011-05-08,10.0
2011-05-09,41.0
2011-05-10,22.826
2011-05-11,42.230000000000004
2011-05-12,1.37
2011-05-13,-23.59
2011-05-14,8.17
2011-05-15,-100.94
2011-05-16,-1.0100000000000002
2011-05-17,31.0
2011-05-18,14.920000000000002
2011-05-19,-8.009999999999998
2011-05-20,42.05000000000001
2011-05-21,58.87
2011-05-22,-6.47999999999999
2011-05-23,-38.3
2011-05-24,-1.8500000000000014
2011-05-25,-39.389999999999986
2011-05-26,-192.53
2011-05-27,301.85
2011-05-28,-61.16999999999999
2011-05-29,-135.18
2011-05-30,3.1499999999999986
2011-05-31,-7.590000000000003
2011-06-01,-101.33
2011-06-02,2.089999999999998
2011-06-03,0.9500000000000028
2011-06-04,-3.0260000000000034
2011-06-05,774.74
2011-06-06,-25.169999999999995
2011-06-07,196.58
2011-06-08,37.690000000000026
2011-06-09,129.82047798999997
2011-06-10,203.59
2011-06-11,132.55426076999998
2011-06-12,108.21905181999998
2011-06-13,65.46873973999999
2011-06-14,257.04871479999997
2011-06-15,52.47020844000002
2011-06-16,159.2658332
2011-06-17,57.020554559999994
2011-06-18,-121.33
2011-06-19,-9.032762999999989
2011-06-20,11.33630943
2011-06-21,-23.990900140000008
2011-06-22,210.54744613
2011-06-23,113.77799999999999
2011-06-24,-1024.97828777
2011-06-25,-168.6162
2011-06-26,-116.776
2011-06-27,434.28285502999995
2011-06-28,47.7705
2011-06-29,106.98849999999999
2011-06-30,49.556386589999995
2011-07-01,37.220499999999994
2011-07-02,-0.6341999999999999
2011-07-03,47.53417368
2011-07-04,95.51724150000001
2011-07-05,34.72700230000004
2011-07-06,98.44507118000001
2011-07-07,19.956929510000002
2011-07-08,281.05931502000004
2011-07-09,34.572688949999986
2011-07-10,-231.04908378000002
2011-07-11,77.08256152
2011-07-12,34.59235349999999
2011-07-13,88.09730732
2011-07-14,256.55629329
2011-07-15,5.27219224000001
2011-07-16,-47.30552848
2011-07-17,86.02781402
2011-07-18,110.05566646
2011-07-19,37.375416460000025
2011-07-20,20.549137669999993
2011-07-21,100.23239105
2011-07-22,182.41954816000003
