time,CapRealUSD
2010-07-18,2026.5854008431354
2010-07-19,4463.911467850132
2010-07-20,5741.958658909622
2010-07-21,7176.328942610221
2010-07-22,8107.064741982727
2010-07-23,9130.08654119934
2010-07-24,11193.82296079034
2010-07-25,12429.029315735674
2010-07-26,15714.02980098612
2010-07-27,16701.7291152543
2010-07-28,17591.32024996741
2010-07-29,18339.62297842641
2010-07-30,19139.449854978546
2010-07-31,20018.224124767086
2010-08-01,20957.41356585003
2010-08-02,21628.065495811872
2010-08-03,22540.298237766558
2010-08-04,23375.026386853908
2010-08-05,24084.725195515523
2010-08-06,24856.599257304442
2010-08-07,25520.34353397722
2010-08-08,26261.9294569214
2010-08-09,27801.267862359953
2010-08-10,28680.29364015418
2010-08-11,29621.104458440863
2010-08-12,30454.315555923808
2010-08-13,31602.54621700266
2010-08-14,32587.217820224585
2010-08-15,33446.159064913794
2010-08-16,34313.66363177242
2010-08-17,34917.23500037585
2010-08-18,35700.17810133619
2010-08-19,36175.23557264914
2010-08-20,36879.48770572327
2010-08-21,37904.47851882656
2010-08-22,38929.903612387054
2010-08-23,39613.62639109452
2010-08-24,40380.75137191578
2010-08-25,41098.49976014386
2010-08-26,41785.1768812347
2010-08-27,42501.71547454144
2010-08-28,43045.59083425062
2010-08-29,43582.66067710235
2010-08-30,44112.333339057484
2010-08-31,44759.04942866929
2010-09-01,45253.558692492115
2010-09-02,45779.1235784518
2010-09-03,46295.12701967314
2010-09-04,46861.43472232877
2010-09-05,47602.95184579058
2010-09-06,48009.84672574446
2010-09-07,48636.95956250291
2010-09-08,49142.67536999234
2010-09-09,50275.1685615846
2010-09-10,50819.42487498094
2010-09-11,51327.61369769046
2010-09-12,51988.91345845132
2010-09-13,52571.54826822609
2010-09-14,53237.860310773445
2010-09-15,54209.349752514136
2010-09-16,55433.36368909179
2010-09-17,57515.53107489717
2010-09-18,58260.65799233923
2010-09-19,58993.16833997926
2010-09-20,59616.68595837679
2010-09-21,60190.98162473962
2010-09-22,60794.51907291206
2010-09-23,61633.56890563834
2010-09-24,62389.110994040915
2010-09-25,63089.081651831846
2010-09-26,63733.26986387521
2010-09-27,65478.96873039159
2010-09-28,69115.55172992335
2010-09-29,69815.41851273351
2010-09-30,71617.7851921842
2010-10-01,72133.02709065794
2010-10-02,78257.893193833
2010-10-03,78618.62617288197
2010-10-04,79154.44649409234
2010-10-05,81017.05631701867
2010-10-06,81651.49281559951
2010-10-07,82677.01257651192
2010-10-08,85649.39571553146
2010-10-09,89699.86228288374
2010-10-10,92028.32173603661
2010-10-11,93905.46351583749
2010-10-12,94979.99459068896
2010-10-13,97904.8917053496
2010-10-14,99664.50743033996
2010-10-15,103161.85469993587
2010-10-16,106225.0317227574
2010-10-17,107802.50769859066
2010-10-18,109423.28678783675
2010-10-19,110649.53970749606
2010-10-20,112317.89176560698
2010-10-21,115872.6726464387
2010-10-22,116674.3874103865
2010-10-23,118206.1949666149
2010-10-24,121241.08748938626
2010-10-25,124596.29459410542
2010-10-26,128851.79070202589
2010-10-27,136533.14081241368
2010-10-28,145156.1726193077
2010-10-29,149179.32476059272
2010-10-30,153214.97334802273
2010-10-31,157354.69844421066
2010-11-01,160019.58192810326
2010-11-02,163697.46591744022
2010-11-03,166588.1343060994
2010-11-04,179799.4713575491
2010-11-05,186226.36605406224
2010-11-06,220401.84112299024
2010-11-07,228040.12777196677
2010-11-08,239717.8954233984
2010-11-09,242835.4620570656
2010-11-10,245314.42462912117
2010-11-11,247989.91003631573
2010-11-12,250849.2552442655
2010-11-13,256365.15440742933
2010-11-14,262283.8739999535
2010-11-15,273889.325970621
2010-11-16,276071.1094587051
2010-11-17,279363.8704953568
2010-11-18,283852.62331817654
2010-11-19,288431.5365063619
2010-11-20,292697.8997072109
2010-11-21,295108.56695093395
2010-11-22,298241.88941019477
2010-11-23,301558.6267975557
2010-11-24,305565.25888173876
2010-11-25,310468.5733505924
2010-11-26,316031.7775915708
2010-11-27,319268.69235525315
2010-11-28,321843.7313142792
2010-11-29,323333.07219078974
2010-11-30,324945.34524702356
2010-12-01,326333.755441799
2010-12-02,332972.9438441581
2010-12-03,335214.5710692029
2010-12-04,337037.3593273175
2010-12-05,339392.8245485971
2010-12-06,345913.0020587528
2010-12-07,351642.49127000285
2010-12-08,354829.8626765382
2010-12-09,356978.8005099429
2010-12-10,357954.4744807155
2010-12-11,360484.4262758985
2010-12-12,362501.33103250485
2010-12-13,365676.69833048835
2010-12-14,368122.4363916504
2010-12-15,372219.87585641013
2010-12-16,374998.70380517404
2010-12-17,377066.78879521135
2010-12-18,379619.69628993346
2010-12-19,381667.20408938336
2010-12-20,387240.702364659
2010-12-21,395957.48607805546
2010-12-22,398120.3637691993
2010-12-23,400270.2694342204
2010-12-24,402405.6032895987
2010-12-25,404984.06890261953
2010-12-26,407585.0080335743
2010-12-27,410279.75600452273
2010-12-28,413665.65376686095
2010-12-29,422264.9462893047
2010-12-30,425991.3602238268
2010-12-31,428799.27630520845
2011-01-01,431813.73401453614
2011-01-02,436339.3725662135
