time,BlkCnt
2009-01-03,0.0
2009-01-04,0.0
2009-01-05,0.0
2009-01-06,0.0
2009-01-07,0.0
2009-01-08,0.0
2009-01-09,19.0
2009-01-10,61.0
2009-01-11,93.0
2009-01-12,94.0
2009-01-13,123.0
2009-01-14,129.0
2009-01-15,126.0
2009-01-16,108.0
2009-01-17,109.0
2009-01-18,107.0
2009-01-19,115.0
2009-01-20,114.0
2009-01-21,102.0
2009-01-22,91.0
2009-01-23,84.0
2009-01-24,201.0
2009-01-25,191.0
2009-01-26,96.0
2009-01-27,97.0
2009-01-28,112.0
2009-01-29,121.0
2009-01-30,117.0
2009-01-31,138.0
2009-02-01,113.0
2009-02-02,128.0
2009-02-03,139.0
2009-02-04,119.0
2009-02-05,126.0
2009-02-06,122.0
2009-02-07,129.0
2009-02-08,132.0
2009-02-09,134.0
2009-02-10,120.0
2009-02-11,133.0
2009-02-12,119.0
2009-02-13,124.0
2009-02-14,136.0
2009-02-15,128.0
2009-02-16,122.0
2009-02-17,117.0
2009-02-18,118.0
2009-02-19,124.0
2009-02-20,122.0
2009-02-21,114.0
2009-02-22,121.0
2009-02-23,108.0
2009-02-24,106.0
2009-02-25,105.0
2009-02-26,107.0
2009-02-27,115.0
2009-02-28,99.0
2009-03-01,105.0
2009-03-02,108.0
2009-03-03,105.0
2009-03-04,104.0
2009-03-05,112.0
2009-03-06,117.0
2009-03-07,109.0
2009-03-08,115.0
2009-03-09,108.0
2009-03-10,107.0
2009-03-11,114.0
2009-03-12,118.0
2009-03-13,113.0
2009-03-14,110.0
2009-03-15,123.0
2009-03-16,121.0
2009-03-17,114.0
2009-03-18,114.0
2009-03-19,122.0
2009-03-20,118.0
2009-03-21,50.0
2009-03-22,119.0
2009-03-23,130.0
2009-03-24,105.0
2009-03-25,117.0
2009-03-26,117.0
2009-03-27,106.0
2009-03-28,119.0
2009-03-29,116.0
2009-03-30,120.0
2009-03-31,110.0
2009-04-01,114.0
2009-04-02,115.0
2009-04-03,116.0
2009-04-04,113.0
2009-04-05,130.0
2009-04-06,109.0
2009-04-07,100.0
2009-04-08,105.0
2009-04-09,99.0
2009-04-10,108.0
2009-04-11,120.0
2009-04-12,118.0
2009-04-13,115.0
2009-04-14,124.0
2009-04-15,113.0
2009-04-16,123.0
2009-04-17,112.0
2009-04-18,126.0
2009-04-19,119.0
2009-04-20,119.0
2009-04-21,123.0
2009-04-22,121.0
2009-04-23,75.0
2009-04-24,115.0
2009-04-25,118.0
2009-04-26,112.0
2009-04-27,104.0
2009-04-28,117.0
2009-04-29,128.0
2009-04-30,131.0
2009-05-01,121.0
2009-05-02,126.0
2009-05-03,106.0
2009-05-04,128.0
2009-05-05,135.0
2009-05-06,135.0
2009-05-07,122.0
2009-05-08,107.0
2009-05-09,78.0
2009-05-10,85.0
2009-05-11,120.0
2009-05-12,130.0
2009-05-13,111.0
2009-05-14,139.0
2009-05-15,136.0
2009-05-16,119.0
2009-05-17,127.0
2009-05-18,118.0
2009-05-19,86.0
2009-05-20,120.0
2009-05-21,82.0
2009-05-22,61.0
2009-05-23,32.0
2009-05-24,100.0
2009-05-25,109.0
2009-05-26,125.0
2009-05-27,119.0
2009-05-28,95.0
2009-05-29,106.0
2009-05-30,109.0
2009-05-31,96.0
2009-06-01,71.0
2009-06-02,111.0
2009-06-03,71.0
2009-06-04,66.0
2009-06-05,30.0
2009-06-06,28.0
2009-06-07,16.0
2009-06-08,82.0
2009-06-09,91.0
2009-06-10,82.0
2009-06-11,89.0
2009-06-12,86.0
2009-06-13,78.0
2009-06-14,72.0
2009-06-15,84.0
2009-06-16,71.0
2009-06-17,79.0
2009-06-18,80.0
2009-06-19,87.0
2009-06-20,78.0
2009-06-21,81.0
2009-06-22,76.0
2009-06-23,76.0
2009-06-24,95.0
2009-06-25,68.0
2009-06-26,90.0
2009-06-27,84.0
2009-06-28,46.0
2009-06-29,83.0
2009-06-30,85.0
2009-07-01,74.0
2009-07-02,83.0
2009-07-03,82.0
2009-07-04,89.0
2009-07-05,79.0
2009-07-06,84.0
2009-07-07,69.0
2009-07-08,74.0
2009-07-09,86.0
2009-07-10,81.0
2009-07-11,83.0
2009-07-12,77.0
2009-07-13,78.0
2009-07-14,69.0
2009-07-15,45.0
2009-07-16,71.0
2009-07-17,47.0
2009-07-18,4.0
2009-07-19,70.0
2009-07-20,70.0
2009-07-21,82.0
2009-07-22,60.0
2009-07-23,76.0
2009-07-24,73.0
2009-07-25,32.0
2009-07-26,21.0
2009-07-27,74.0
2009-07-28,41.0
2009-07-29,19.0
2009-07-30,15.0
2009-07-31,17.0
2009-08-01,28.0
2009-08-02,23.0
2009-08-03,12.0
2009-08-04,81.0
2009-08-05,87.0
2009-08-06,90.0
2009-08-07,80.0
2009-08-08,80.0
2009-08-09,101.0
2009-08-10,75.0
2009-08-11,70.0
2009-08-12,63.0
2009-08-13,85.0
2009-08-14,63.0
2009-08-15,26.0
2009-08-16,19.0
2009-08-17,17.0
2009-08-18,10.0
2009-08-19,18.0
2009-08-20,22.0
2009-08-21,14.0
2009-08-22,7.0
2009-08-23,15.0
2009-08-24,15.0
2009-08-25,50.0
2009-08-26,48.0
2009-08-27,29.0
2009-08-28,75.0
2009-08-29,78.0
2009-08-30,97.0
2009-08-31,86.0
2009-09-01,78.0
2009-09-02,66.0
2009-09-03,61.0
2009-09-04,64.0
2009-09-05,76.0
2009-09-06,68.0
2009-09-07,78.0
2009-09-08,69.0
2009-09-09,54.0
2009-09-10,67.0
2009-09-11,67.0
2009-09-12,69.0
2009-09-13,75.0
2009-09-14,74.0
2009-09-15,44.0
2009-09-16,72.0
2009-09-17,84.0
2009-09-18,78.0
2009-09-19,74.0
2009-09-20,78.0
2009-09-21,69.0
2009-09-22,25.0
2009-09-23,36.0
2009-09-24,97.0
2009-09-25,91.0
2009-09-26,100.0
2009-09-27,87.0
2009-09-28,85.0
2009-09-29,88.0
2009-09-30,85.0
